"drug","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"17AAG","7","1","47","308","378","278","57","0"
"681640","0","0","0","0","20","282","238","0"
"A443654","0","0","2","38","172","102","44","0"
"A770041","2","0","0","2","24","95","165","71"
"ABT263","0","0","5","22","36","201","296","0"
"ABT888","0","0","0","0","0","19","416","139"
"AEW541","0","0","0","0","21","482","0","0"
"AG014699","0","0","0","0","1","83","345","50"
"AICAR","0","0","0","0","0","0","36","526"
"AKTinhibitorVIII","0","0","0","0","6","211","410","40"
"AMG706","1","0","0","0","3","85","471","0"
"AP24534","8","0","7","14","95","308","235","0"
"AS601245","0","0","0","0","2","287","296","76"
"ATRA","0","0","1","1","7","46","344","174"
"AUY922","19","0","156","263","131","78","14","0"
"Axitinib","2","0","3","2","11","177","381","0"
"AZ628","3","0","5","13","23","105","178","27"
"AZD0530","0","0","1","2","26","573","229","34"
"AZD2281","0","0","0","0","2","71","382","102"
"AZD6244","1","1","5","31","85","618","267","25"
"AZD6482","0","0","1","4","9","231","353","70"
"AZD7762","4","0","3","40","191","288","48","0"
"AZD8055","0","0","1","16","116","380","40","0"
"BAY613606","0","0","1","0","14","368","227","52"
"Bexarotene","1","0","0","1","4","62","430","163"
"BI2536","0","0","28","121","96","80","34","0"
"BIBW2992","0","0","7","24","47","235","263","0"
"Bicalutamide","0","0","0","0","0","12","649","0"
"BID1870","0","0","0","2","6","327","228","10"
"BIRB0796","0","0","0","0","1","13","274","285"
"Bleomycin","22","0","20","32","86","262","185","54"
"BMS509744","0","0","0","0","0","103","204","52"
"BMS536924","0","0","0","6","32","143","131","47"
"BMS708163","0","0","0","0","2","18","373","89"
"BMS754807","3","0","10","39","78","356","162","13"
"Bortezomib","195","0","63","53","30","13","0","0"
"Bosutinib","0","0","0","1","26","249","298","0"
"Bryostatin1","5","0","31","119","309","197","0","0"
"BX795","0","0","0","1","2","339","187","9"
"Camptothecin","173","0","149","146","73","35","0","0"
"CCT007093","0","0","0","0","0","8","301","173"
"CCT018159","0","0","0","0","0","179","270","21"
"CEP701","1","0","13","52","195","270","45","0"
"CGP082996","0","0","0","0","1","86","214","57"
"CGP60474","0","0","16","143","89","99","11","0"
"CHIR99021","0","0","0","0","4","78","510","75"
"CI1040","0","0","1","5","28","281","241","17"
"Cisplatin","0","0","0","0","2","197","320","57"
"CMK","4","0","3","8","9","137","238","35"
"Cyclopamine","0","0","0","0","0","6","119","229"
"Cytarabine","0","0","4","33","123","314","102","0"
"Dasatinib","8","0","17","41","36","71","174","11"
"DMOG","0","0","0","0","0","5","245","417"
"Docetaxel","286","0","163","75","31","12","0","0"
"Doxorubicin","6","0","84","213","215","116","27","0"
"EHT1864","0","0","0","0","0","41","369","72"
"Elesclomol","43","0","190","167","79","88","9","0"
"Embelin","0","0","0","0","0","304","318","39"
"EpothiloneB","292","0","187","104","34","44","0","0"
"Erlotinib","0","0","0","7","11","534","241","38"
"Etoposide","0","0","4","16","89","335","169","54"
"FH535","0","0","2","0","9","465","165","20"
"FTI277","0","0","0","0","1","121","545","0"
"GDC0449","0","0","0","1","0","11","290","261"
"GDC0941","0","0","0","4","33","295","194","5"
"Gefitinib","0","0","1","8","57","293","217","0"
"Gemcitabine","138","0","103","114","106","122","78","0"
"GNF2","0","0","0","0","6","22","329","1"
"GSK269962A","2","0","2","3","10","97","220","23"
"GSK650394","0","0","0","0","2","167","324","168"
"GW441756","0","0","0","0","7","62","507","0"
"GW843682X","2","0","77","125","58","63","34","0"
"Imatinib","0","0","0","3","3","13","301","41"
"IPA3","0","0","0","0","0","94","245","322"
"Irinotecan","0","1","5","74","143","94","0","0"
"JNJ26854165","0","0","0","0","0","217","253","9"
"JNK9L","0","0","0","19","267","340","40","1"
"JNKInhibitorVIII","0","0","0","0","0","5","269","299"
"JW7521","8","0","48","112","84","69","37","1"
"KIN001135","0","0","0","0","0","1","150","207"
"KU55933","0","0","0","0","0","17","381","153"
"L685458","0","0","0","2","12","477","0","0"
"Lapatinib","0","0","0","7","20","537","251","40"
"LBW242","0","1","2","5","7","488","0","0"
"Lenalidomide","0","0","0","0","0","19","405","152"
"LFMA13","0","0","0","0","0","0","254","407"
"Metformin","0","0","0","0","0","0","1","574"
"Methotrexate","5","0","26","47","82","311","74","0"
"MG132","0","0","1","24","61","142","130","0"
"Midostaurin","0","0","1","22","172","343","129","0"
"MitomycinC","32","0","40","106","217","252","12","2"
"MK2206","0","0","0","2","24","226","275","3"
"MS275","0","0","0","7","66","211","54","16"
"Nilotinib","4","1","7","4","6","485","476","13"
"NSC87877","0","0","0","0","0","8","127","532"
"NU7441","0","0","1","0","6","168","376","0"
"Nutlin3","0","0","1","0","2","622","299","140"
"NVPBEZ235","6","0","81","258","147","56","3","0"
"NVPTAE684","4","0","1","6","49","183","112","6"
"ObatoclaxMesylate","26","0","38","138","201","224","29","5"
"OSI906","0","0","0","7","32","172","405","45"
"PAC1","0","0","2","1","6","236","456","21"
"Paclitaxel","35","114","325","161","63","144","20","0"
"Panobinostat","0","4","79","326","89","2","0","0"
"Parthenolide","0","0","0","0","1","29","230","98"
"Pazopanib","1","0","1","3","2","119","407","128"
"PD0325901","9","4","65","100","165","652","62","0"
"PD0332991","0","0","0","1","44","695","208","16"
"PD173074","0","0","1","1","8","111","439","1"
"PF02341066","0","0","0","2","6","51","291","11"
"PF2341066","0","0","1","5","9","489","0","0"
"PF4708671","0","0","0","0","0","21","363","95"
"PF562271","0","0","0","0","4","328","319","16"
