"drug","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"17AAG","1","0","16","76","80","58","5","0"
"681640","0","0","0","0","0","1","1","0"
"A443654","0","0","0","0","6","2","1","0"
"ABT888","0","0","0","0","0","1","6","3"
"AEW541","0","0","0","0","1","19","0","0"
"AG014699","0","0","0","0","0","0","9","1"
"AICAR","0","0","0","0","0","0","0","2"
"AKTinhibitorVIII","0","0","0","0","1","2","13","3"
"AMG706","0","0","0","0","2","4","54","0"
"AP24534","0","0","0","0","1","5","5","0"
"ATRA","0","0","0","0","0","0","1","0"
"AUY922","4","0","25","42","26","10","3","0"
"Axitinib","0","0","2","0","0","12","33","0"
"AZ628","1","0","4","4","1","2","5","1"
"AZD0530","0","0","0","0","1","25","6","0"
"AZD2281","0","0","0","0","0","0","5","5"
"AZD6244","0","0","0","4","3","18","3","0"
"AZD8055","0","0","0","2","4","23","3","0"
"BAY613606","0","0","0","0","0","6","3","0"
"Bexarotene","0","0","0","0","0","1","5","1"
"BI2536","0","0","3","6","3","0","2","0"
"BIBW2992","0","0","1","3","5","17","10","0"
"Bicalutamide","0","0","0","0","0","0","25","0"
"BID1870","0","0","0","0","0","8","7","0"
"BIRB0796","0","0","0","0","0","0","9","10"
"BMS509744","0","0","0","0","0","2","0","0"
"BMS536924","0","0","0","0","2","2","1","2"
"BMS754807","0","0","0","1","3","8","3","0"
"Bosutinib","0","0","0","0","3","6","14","0"
"Bryostatin1","2","0","3","29","56","22","0","0"
"BX795","0","0","0","0","0","14","12","1"
"Camptothecin","3","0","1","3","1","3","0","0"
"CEP701","0","0","0","2","24","22","5","0"
"CGP082996","0","0","0","0","0","0","0","1"
"CGP60474","0","0","0","2","1","0","0","0"
"CHIR99021","0","0","0","0","0","4","2","0"
"CI1040","0","0","0","0","0","8","1","0"
"CMK","0","0","0","0","1","8","18","5"
"Cyclopamine","0","0","0","0","0","0","1","2"
"Dasatinib","0","0","0","1","1","3","8","1"
"DMOG","0","0","0","0","0","0","3","7"
"EHT1864","0","0","0","0","0","0","5","0"
"Embelin","0","0","0","0","0","3","1","0"
"Erlotinib","0","0","0","4","0","29","11","1"
"FH535","0","0","0","0","0","13","4","1"
"FTI277","0","0","0","0","0","1","3","0"
"GDC0449","0","0","0","0","0","0","4","1"
"GDC0941","0","0","0","0","8","49","30","1"
"Gefitinib","0","0","0","0","4","10","8","0"
"GSK269962A","0","0","0","0","0","11","9","3"
"GSK650394","0","0","0","0","0","3","5","5"
"GW441756","0","0","0","0","0","1","9","0"
"GW843682X","0","0","2","2","0","0","1","0"
"Imatinib","0","0","0","0","1","0","28","6"
"IPA3","0","0","0","0","0","1","3","0"
"Irinotecan","0","0","0","2","1","0","0","0"
"JNJ26854165","0","0","0","0","0","4","1","0"
"JNK9L","0","0","0","0","3","6","1","0"
"JNKInhibitorVIII","0","0","0","0","0","0","3","5"
"JW7521","0","0","6","4","2","2","3","0"
"KIN001135","0","0","0","0","0","0","0","2"
"KU55933","0","0","0","0","0","2","36","15"
"L685458","0","0","0","0","0","1","0","0"
"Lapatinib","0","0","0","0","5","53","16","2"
"Lenalidomide","0","0","0","0","0","0","2","0"
"LFMA13","0","0","0","0","0","0","1","5"
"Metformin","0","0","0","0","0","0","0","2"
"Midostaurin","0","0","0","3","1","6","2","0"
"MK2206","0","0","0","0","1","3","5","0"
"MS275","0","0","0","0","4","15","1","1"
"Nilotinib","0","0","2","1","0","35","17","0"
"NSC87877","0","0","0","0","0","0","3","10"
"NU7441","0","0","0","0","3","91","227","0"
"Nutlin3","0","0","0","0","0","10","3","0"
"NVPBEZ235","2","0","8","38","25","9","0","0"
"NVPTAE684","0","0","0","0","1","4","3","0"
"ObatoclaxMesylate","1","0","0","1","0","0","1","0"
"OSI906","0","0","0","0","1","4","9","1"
"PAC1","0","0","0","0","0","0","6","0"
"Paclitaxel","2","0","1","0","0","0","0","0"
"Panobinostat","0","0","4","4","0","0","0","0"
"Parthenolide","0","0","0","0","0","1","12","6"
"Pazopanib","0","0","0","0","0","8","28","14"
"PD0325901","0","0","4","3","7","15","0","0"
"PD0332991","0","0","0","0","0","9","5","0"
"PD173074","0","0","0","0","0","2","19","0"
"PF2341066","0","0","0","1","0","69","12","1"
"PF4708671","0","0","0","0","0","1","1","1"
"PF562271","0","0","0","0","1","4","5","0"
"PHA665752","0","0","0","0","0","26","4","2"
"PLX4720","0","0","0","2","16","73","17","8"
"Pyrimethamine","0","0","0","0","0","0","1","0"
"Rapamycin","0","0","4","3","0","10","0","0"
"RDEA119","0","0","0","0","1","7","1","0"
"RO3306","0","0","0","0","0","0","2","0"
"Roscovitine","0","0","0","0","0","0","1","0"
"SB216763","0","0","0","0","0","2","6","2"
"SB590885","0","0","1","2","4","13","23","4"
"Shikonin","0","0","0","0","4","3","0","0"
"SL01011","0","0","0","0","0","1","24","31"
"Sorafenib","1","0","1","2","1","137","25","3"
"Sunitinib","0","0","0","1","0","7","23","0"
"TAE684","0","0","0","0","3","43","3","0"
"Temsirolimus","0","0","3","8","11","7","4","0"
"Tipifarnib","0","0","0","0","0","4","0","0"
"TKI258","0","0","0","0","3","145","0","0"
"Topotecan","0","0","0","2","2","3","0","0"
"Vorinostat","0","0","0","0","1","44","5","1"
"VX680","0","0","0","1","7","7","11","1"
"VX702","0","0","0","1","0","2","16","0"
"WH4023","0","0","0","0","0","0","4","2"
"WZ184","0","0","0","0","0","0","2","3"
"XMD885","0","0","0","0","0","3","0","1"
"ZD6474","0","0","0","1","3","53","0","0"
"ZM447439","0","0","0","0","0","2","2","0"
