"cell_line","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"1321N1","0","1","0","1","2","17","0","0"
"22RV1","2","0","7","6","6","44","45","12"
"2313287","2","0","4","8","6","22","29","7"
"42MGBA","0","1","0","3","1","15","0","0"
"5637","4","1","2","12","7","53","28","15"
"639V","6","0","4","5","9","52","37","9"
"647V","4","0","5","4","7","24","45","9"
"697","9","1","15","9","20","63","30","6"
"769P","2","0","7","8","11","47","41","6"
"7860","5","0","8","3","10","39","27","6"
"786O","0","0","0","1","4","17","0","0"
"8305C","4","0","3","6","12","52","34","11"
"8505C","7","0","4","6","10","52","34","8"
"8MGBA","6","0","7","13","14","56","50","12"
"A101D","4","0","10","13","14","46","41","10"
"A172","3","0","5","4","10","56","30","5"
"A204","3","0","13","7","14","43","35","7"
"A2058","6","1","2","10","10","44","37","8"
"A253","3","1","5","9","7","50","51","8"
"A2780","7","1","4","11","8","51","33","7"
"A375","8","0","6","7","17","38","36","7"
"A388","5","0","7","8","7","47","52","12"
"A3KAW","6","0","6","9","14","38","46","10"
"A427","6","0","6","5","12","28","29","12"
"A431","4","0","2","7","6","35","37","7"
"A498","1","0","2","9","9","31","56","24"
"A4Fuk","8","0","8","13","10","36","43","11"
"A549","2","1","7","4","5","38","24","4"
"A673","3","0","4","5","5","44","50","9"
"A704","1","0","4","6","10","38","44","14"
"ABC1","5","0","3","5","8","25","38","14"
"ACHN","2","0","2","11","17","42","35","6"
"ACN","7","0","9","10","12","43","48","9"
"AGS","4","0","9","5","10","30","24","13"
"ALLPO","4","0","8","8","13","51","41","4"
"ALLSIL","0","1","3","0","2","18","0","0"
"AM38","2","0","4","5","7","26","75","19"
"AMO1","0","0","2","2","4","16","0","0"
"AN3CA","2","0","9","8","8","54","32","7"
"ARH77","2","0","2","10","5","15","36","7"
"AsPC1","0","0","2","4","8","22","49","13"
"ASPC1","0","0","1","2","1","20","0","0"
"ATN1","6","0","4","9","11","29","56","14"
"AU565","5","0","4","6","9","44","43","10"
"AZ521","0","1","0","2","4","17","0","0"
"BALL1","0","0","0","2","3","7","37","3"
"BB30HNC","7","0","5","13","13","45","46","9"
"BB49HNC","2","0","3","4","12","40","60","17"
"BB65RCC","5","0","7","11","11","40","53","11"
"BC1","2","0","2","8","8","27","26","4"
"BC3","1","0","3","6","8","25","29","5"
"BCPAP","8","0","1","7","12","49","38","7"
"BDCM","0","1","0","2","3","17","0","0"
"BE13","9","0","6","6","17","33","47","11"
"Becker","4","0","5","10","7","44","53","15"
"BEN","0","0","2","8","5","26","49","8"
"BFTC905","7","0","3","5","10","35","31","8"
"BFTC909","4","0","5","7","10","45","42","7"
"BGC823","0","0","0","2","0","22","0","0"
"BHT101","4","0","3","7","13","30","33","8"
"BHY","5","0","4","4","7","34","35","9"
"BL41","3","1","5","12","6","45","23","6"
"BL70","7","0","6","10","6","42","25","5"
"BOKU","0","0","0","4","9","19","28","2"
"BPH1","8","0","4","5","7","33","32","9"
"BT20","1","1","2","5","8","49","41","15"
"BT474","0","0","5","8","8","48","61","31"
"BT549","0","0","5","5","2","38","21","10"
"BV173","4","0","10","10","19","40","34","8"
"BxPC3","3","0","2","6","8","29","33","17"
"BXPC3","0","0","1","1","3","15","0","0"
"C2BBe1","3","0","1","7","14","42","52","19"
"C2BBE1","0","0","0","1","0","22","0","0"
"C32","2","0","3","8","10","45","37","17"
"C33A","4","0","6","2","7","25","40","13"
"C3A","1","0","2","6","8","46","40","17"
"C4II","0","0","3","2","7","8","13","4"
"C8166","0","0","3","5","7","22","64","28"
"CA46","1","0","2","2","7","26","28","11"
"Ca922","6","0","3","6","8","30","36","9"
"CAKI1","0","0","6","4","11","31","34","12"
"CAKI2","0","0","1","1","1","21","0","0"
"CAL120","1","0","2","5","9","27","40","14"
"CAL12T","4","0","5","5","11","50","35","7"
"CAL148","0","0","4","6","3","15","29","19"
"CAL27","5","1","0","11","14","39","40","10"
"CAL33","3","0","4","4","7","39","29","12"
"CAL39","5","0","4","8","12","23","29","17"
"CAL51","6","0","6","4","10","28","36","8"
"CAL54","1","0","0","3","12","38","32","12"
"CAL62","4","0","2","9","5","25","40","13"
"CAL72","2","0","0","3","8","27","49","9"
"CAL78","0","0","1","2","2","19","0","0"
"CAL851","3","0","5","5","9","50","40","9"
"Calu1","1","0","1","2","4","14","12","3"
"CALU1","0","0","1","1","1","21","0","0"
"Calu3","1","0","2","4","9","32","34","16"
