"cell_line","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"22RV1","0","0","0","2","3","10","10","3"
"2313287","0","0","0","5","0","5","1","1"
"5637","0","0","0","3","1","2","1","0"
"639V","1","0","0","5","0","14","13","0"
"647V","0","0","0","0","0","1","2","0"
"697","0","0","0","1","1","2","1","0"
"769P","0","0","0","0","1","0","1","1"
"786O","0","0","0","0","1","1","0","0"
"8305C","0","0","0","0","0","4","1","0"
"8505C","0","0","1","0","1","6","4","0"
"8MGBA","0","0","0","0","0","1","1","0"
"A101D","0","0","1","0","2","1","0","0"
"A172","0","0","0","1","2","1","0","0"
"A204","0","0","0","0","0","0","1","0"
"A2058","0","0","0","0","2","6","2","0"
"A253","0","0","0","0","0","4","5","0"
"A2780","0","0","0","1","0","3","2","1"
"A375","0","0","0","0","2","3","2","0"
"A3KAW","0","0","0","1","2","2","3","1"
"A498","0","0","0","1","0","2","2","0"
"A549","0","0","0","0","1","3","0","0"
"A673","0","0","0","0","0","1","3","0"
"A704","0","0","0","0","0","1","3","0"
"ABC1","0","0","0","0","1","1","2","1"
"ACHN","0","0","0","0","0","0","2","0"
"AGS","0","0","2","2","0","7","3","3"
"AM38","0","0","0","0","0","0","9","0"
"AMO1","0","0","0","0","1","5","0","0"
"AN3CA","0","0","0","4","1","9","2","0"
"ASPC1","0","0","0","1","0","0","0","0"
"AU565","0","0","0","0","2","4","5","0"
"BCPAP","0","0","0","0","0","2","3","0"
"BDCM","0","0","0","0","1","1","0","0"
"BEN","0","0","0","1","0","1","3","0"
"BFTC905","0","0","0","0","1","1","0","0"
"BFTC909","1","0","0","3","2","2","0","0"
"BHY","0","0","1","0","1","1","2","0"
"BL41","0","0","1","1","0","2","2","0"
"BL70","0","0","0","1","1","4","3","0"
"BT20","0","0","0","2","1","6","0","0"
"BT474","0","0","0","3","1","1","4","9"
"BT549","0","0","0","0","0","0","1","0"
"BV173","0","0","0","2","0","1","0","1"
"C2BBE1","0","0","0","0","0","1","0","0"
"C32","1","0","1","3","2","7","1","1"
"C3A","0","0","0","2","1","4","1","1"
"CA46","0","0","0","2","1","0","3","2"
"CAKI1","0","0","0","0","0","1","0","0"
"CAL120","0","0","0","1","1","0","1","0"
"CAL12T","0","0","0","1","0","2","5","1"
"CAL148","0","0","0","0","0","0","1","1"
"CAL27","0","0","0","0","1","3","3","0"
"CAL33","0","0","0","2","1","2","1","1"
"CAL51","0","0","1","0","0","2","1","0"
"CAL54","0","0","0","0","0","1","0","0"
"CAL62","0","0","0","0","0","0","3","0"
"CAMA1","0","0","0","1","2","1","2","0"
"CAPAN1","0","0","0","0","0","2","3","0"
"CAPAN2","0","0","0","1","0","1","0","0"
"CAS1","0","0","0","0","0","0","1","0"
"CCFSTTG1","0","0","0","0","0","0","1","0"
"CCK81","0","0","0","0","3","6","0","0"
"CFPAC1","0","0","0","0","0","0","2","0"
"CGTHW1","0","0","0","0","1","2","1","1"
"CHL1","0","0","2","1","3","12","7","0"
"CHP212","0","0","0","0","0","0","1","0"
"CI1","0","0","0","0","0","1","0","0"
"CMK","0","0","0","0","0","2","0","0"
"COLO201","0","0","0","0","0","3","0","0"
"COLO205","0","0","1","1","1","3","0","0"
"COLO668","0","0","0","0","1","1","9","0"
"COLO679","0","0","0","0","2","3","1","2"
"COLO680N","0","0","0","0","0","0","2","1"
"COLO684","0","0","1","2","2","1","3","1"
"COLO699","0","0","0","0","1","0","0","0"
"COLO741","0","0","0","0","1","3","2","0"
"COLO792","0","0","0","5","2","3","12","1"
"COLO829","0","0","0","1","1","3","3","0"
"CORL23","0","0","0","0","0","9","1","0"
"CORL279","0","0","0","0","0","1","1","0"
"CORL88","0","0","0","0","0","0","2","0"
"COV504","0","0","0","0","1","0","0","0"
"CW2","0","0","0","1","4","16","65","19"
"DB","0","0","0","0","0","0","1","0"
"DBTRG05MG","0","0","0","0","0","6","1","1"
"DKMG","0","0","0","0","1","2","1","0"
"DMS114","0","0","0","0","0","5","1","2"
