"drug","ref","min","3_times","5_times","25_times","50_times","100_times","250_times"
"17AAG","0.00","NA","NA","NA","NA","NA","NA","NA"
"681640","0.14","540","533","519","395","320","245","158"
"A443654","0.02","358","350","334","171","113","94","65"
"A770041","0.00","NA","NA","NA","NA","NA","NA","NA"
"ABT263","0.01","560","555","549","522","506","484","444"
"ABT888","1.08","574","572","572","537","489","416","241"
"AEW541","0.13657329","503","489","479","382","272","0","0"
"AG014699","0.50","479","476","470","417","348","266","163"
"AICAR","88.15","562","545","513","323","227","173","94"
"AKTinhibitorVIII","0.15","667","666","660","601","545","450","324"
"AMG706","0.00","NA","NA","NA","NA","NA","NA","NA"
"AP24534","0.00","NA","NA","NA","NA","NA","NA","NA"
"AS601245","0.30","661","655","642","485","372","296","212"
"ATRA","0.02","573","571","571","565","559","551","541"
"AUY922","0.00","NA","NA","NA","NA","NA","NA","NA"
"Axitinib","0.00","NA","NA","NA","NA","NA","NA","NA"
"AZ628","0.00","NA","NA","NA","NA","NA","NA","NA"
"AZD0530","0.02172379","865","863","863","839","815","764","672"
"AZD2281","0.44","557","552","549","499","456","415","311"
"AZD6244","0.00","NA","NA","NA","NA","NA","NA","NA"
"AZD6482","0.01","667","666","665","660","658","643","599"
"AZD7762","0.00","NA","NA","NA","NA","NA","NA","NA"
"AZD8055","0.02","553","548","538","458","322","189","91"
"BAY613606","0.01","661","660","660","660","656","627","538"
"Bexarotene","0.00","NA","NA","NA","NA","NA","NA","NA"
"BI2536","0.01","359","331","295","161","127","91","70"
"BIBW2992","0.01","576","569","564","529","506","482","434"
"Bicalutamide","0.73","661","660","660","646","613","454","54"
"BID1870","0.04","573","571","569","548","525","433","282"
"BIRB0796","0.35","573","572","572","565","556","529","483"
"Bleomycin","0.00","NA","NA","NA","NA","NA","NA","NA"
"BMS509744","1.21","359","345","332","202","154","113","61"
"BMS536924","0.03","359","356","353","316","286","257","207"
"BMS708163","0.32","482","480","478","472","460","422","304"
"BMS754807","0.00","NA","NA","NA","NA","NA","NA","NA"
"Bortezomib","0.00","NA","NA","NA","NA","NA","NA","NA"
"Bosutinib","0.08","574","570","566","487","424","352","265"
"Bryostatin1","0.00","NA","NA","NA","NA","NA","NA","NA"
"BX795","0.04","538","537","537","524","470","375","234"
"Camptothecin","0.00","NA","NA","NA","NA","NA","NA","NA"
"CCT007093","1.31","482","479","479","458","424","368","210"
"CCT018159","2.72","470","385","303","135","88","43","11"
"CEP701","0.00","NA","NA","NA","NA","NA","NA","NA"
"CGP082996","0.24","358","356","356","329","290","236","181"
"CGP60474","0.01","358","342","302","151","119","91","53"
"CHIR99021","0.22","667","663","659","631","599","566","475"
"CI1040","0.02","573","570","569","541","530","497","431"
"Cisplatin","0.34","576","571","561","457","355","257","166"
"CMK","0.00","NA","NA","NA","NA","NA","NA","NA"
"Cyclopamine","5.84","354","347","341","284","242","190","99"
"Cytarabine","0.01","576","572","565","513","443","361","252"
