"drug","ref","min","3_times","5_times","25_times","50_times","100_times","250_times"
"17AAG","0.00","NA","NA","NA","NA","NA","NA","NA"
"681640","1.15","2","1","1","1","0","0","0"
"A443654","0.14","9","4","3","1","1","1","1"
"ABT888","7.77","10","9","9","8","3","0","0"
"AEW541","0.60","20","16","15","0","0","0","0"
"AG014699","25.58","10","8","4","1","0","0","0"
"AICAR","3312.61","2","0","0","0","0","0","0"
"AKTinhibitorVIII","0.49","19","16","16","16","13","10","7"
"AMG706","0.47","60","58","58","54","48","44","18"
"AP24534","0.18","11","10","9","7","6","4","3"
"ATRA","203.13","1","0","0","0","0","0","0"
"AUY922","0.00","NA","NA","NA","NA","NA","NA","NA"
"Axitinib","0.01","47","45","45","45","45","45","42"
"AZ628","0.00","NA","NA","NA","NA","NA","NA","NA"
"AZD0530","0.55","32","28","27","6","5","4","3"
"AZD2281","36.50","10","9","7","0","0","0","0"
"AZD6244","0.04","28","24","24","20","18","16","4"
"AZD8055","0.08","32","30","28","8","4","3","3"
"BAY613606","2.25","9","5","3","2","2","1","0"
"Bexarotene","13.57","7","3","3","1","1","1","0"
"BI2536","0.01","14","11","9","3","2","2","2"
"BIBW2992","0.02","36","34","32","29","27","24","23"
"Bicalutamide","24.42","25","13","4","0","0","0","0"
"BID1870","1.31","15","12","10","3","1","0","0"
"BIRB0796","27.12","19","16","15","4","1","0","0"
"BMS509744","4.32","2","0","0","0","0","0","0"
"BMS536924","0.33","7","5","5","3","3","3","3"
"BMS754807","0.08","15","12","11","6","5","5","3"
"Bosutinib","0.34","23","19","17","16","13","8","5"
"Bryostatin1","0.00","NA","NA","NA","NA","NA","NA","NA"
"BX795","0.73","27","22","18","12","10","8","3"
"Camptothecin","0.00","NA","NA","NA","NA","NA","NA","NA"
"CEP701","0.07","53","45","36","18","13","10","5"
"CGP082996","715.43","1","0","0","0","0","0","0"
"CGP60474","0.09","3","0","0","0","0","0","0"
"CHIR99021","1.95","6","3","2","1","1","1","0"
"CI1040","1.55","9","5","2","0","0","0","0"
"CMK","0.29","32","31","29","26","23","17","11"
"Cyclopamine","286.57","3","1","1","0","0","0","0"
"Dasatinib","0.10","14","13","13","11","10","10","9"
"DMOG","84.21","10","7","7","4","3","3","3"
"EHT1864","28.61","5","2","2","0","0","0","0"
"Embelin","2.00","4","3","2","1","1","0","0"
"Erlotinib","0.04","45","42","41","40","37","35","12"
"FH535","1.61","18","10","7","4","3","3","1"
"FTI277","1.33","4","3","3","2","0","0","0"
"GDC0449","63.78","5","2","1","0","0","0","0"
"GDC0941","0.21","88","80","73","47","36","26","12"
"Gefitinib","0.21","22","18","18","15","11","4","0"
"GSK269962A","1.01","23","21","17","12","12","12","4"
"GSK650394","3.61","13","10","9","7","5","5","4"
"GW441756","9.02","10","9","7","2","0","0","0"
"GW843682X","0.01","5","3","3","1","1","1","1"
"Imatinib","0.23","35","34","34","34","34","34","30"
"IPA3","0.98","4","3","3","2","1","0","0"
"Irinotecan","0.07","3","1","0","0","0","0","0"
"JNJ26854165","5.34","5","1","0","0","0","0","0"
"JNK9L","0.36","10","4","3","2","1","1","0"
"JNKInhibitorVIII","17.11","8","7","6","5","2","0","0"
"JW7521","0.01","17","11","11","6","5","5","4"
"KIN001135","579.30","2","0","0","0","0","0","0"
"KU55933","9.15","53","46","39","22","9","3","0"
"L685458","8.00","1","0","0","0","0","0","0"
"Lapatinib","0.24","76","70","69","59","19","16","6"
"Lenalidomide","116.03","2","0","0","0","0","0","0"
"LFMA13","101.70","6","5","4","0","0","0","0"
"Metformin","10094.85","2","0","0","0","0","0","0"
"Midostaurin","0.06","12","9","9","5","5","4","2"
"MK2206","0.58","9","8","8","5","2","2","0"
"MS275","0.24","21","14","14","4","3","2","2"
"Nilotinib","0.01","55","53","53","52","52","52","52"
"NSC87877","124.65","13","10","10","0","0","0","0"
"NU7441","0.29","321","318","315","268","227","172","96"
"Nutlin3","2.82","13","3","3","2","2","0","0"
"NVPBEZ235","0.00","NA","NA","NA","NA","NA","NA","NA"
"NVPTAE684","0.33","8","7","7","4","3","2","2"
"ObatoclaxMesylate","0.00","NA","NA","NA","NA","NA","NA","NA"
"OSI906","0.24","15","14","14","12","10","10","6"
"PAC1","46.07","6","2","2","0","0","0","0"
"Paclitaxel","0.00","NA","NA","NA","NA","NA","NA","NA"
"Panobinostat","0.01","8","4","0","0","0","0","0"
"Parthenolide","6.95","19","17","16","7","7","3","0"
"Pazopanib","0.99","50","47","47","40","34","29","22"
"PD0325901","0.01","29","25","22","18","15","14","9"
"PD0332991","2.28","14","11","5","4","4","2","0"
"PD173074","3.91","21","19","18","9","5","0","0"
"PF2341066","0.10","83","82","82","80","72","13","12"
"PF4708671","12.26","3","2","1","1","1","0","0"
"PF562271","0.39","10","9","8","5","5","4","1"
"PHA665752","0.72","32","31","31","6","6","5","4"
"PLX4720","0.03","116","114","114","96","86","78","65"
"Pyrimethamine","255.63","1","0","0","0","0","0","0"
"Rapamycin","0.01","17","13","10","10","10","8","5"
"RDEA119","0.31","9","6","6","4","1","1","1"
"RO3306","39.69","2","1","1","0","0","0","0"
"Roscovitine","93.06","1","0","0","0","0","0","0"
"SB216763","8.19","10","8","8","4","2","1","0"
"SB590885","0.02","47","46","45","41","37","34","31"
"Shikonin","0.14","7","5","1","0","0","0","0"
"SL01011","3.82","56","55","55","47","41","31","5"
"Sorafenib","0.00","NA","NA","NA","NA","NA","NA","NA"
"Sunitinib","0.03","31","30","30","28","27","26","25"
"TAE684","0.16","49","46","46","29","20","3","2"
"Temsirolimus","0.01","33","30","29","17","14","9","8"
"Tipifarnib","1.22","4","2","1","0","0","0","0"
"TKI258","0.22","148","145","139","98","0","0","0"
"Topotecan","0.04","7","5","5","2","0","0","0"
"Vorinostat","0.50","51","43","38","6","3","1","1"
"VX680","0.08","27","25","24","17","14","12","12"
"VX702","0.11","19","18","18","16","16","16","16"
"WH4023","23.10","6","3","3","2","0","0","0"
"WZ184","142.04","5","3","3","0","0","0","0"
"XMD885","3.40","4","1","1","1","1","1","1"
"ZD6474","0.10","57","55","53","49","42","0","0"
"ZM447439","1.21","4","3","2","2","1","0","0"
