"cell_line","ref","min","3_times","5_times","25_times","50_times","100_times","250_times"
"1321N1","0.00254261","21","20","20","20","19","17","17"
"22RV1","0.00","NA","NA","NA","NA","NA","NA","NA"
"2313287","0.00","NA","NA","NA","NA","NA","NA","NA"
"42MGBA","0.00254261","20","19","19","17","16","15","15"
"5637","0.00","NA","NA","NA","NA","NA","NA","NA"
"639V","0.00","NA","NA","NA","NA","NA","NA","NA"
"647V","0.00","NA","NA","NA","NA","NA","NA","NA"
"697","0.00","NA","NA","NA","NA","NA","NA","NA"
"769P","0.00","NA","NA","NA","NA","NA","NA","NA"
"7860","0.00","NA","NA","NA","NA","NA","NA","NA"
"786O","0.07082496","22","20","17","17","17","16","0"
"8305C","0.00","NA","NA","NA","NA","NA","NA","NA"
"8505C","0.00","NA","NA","NA","NA","NA","NA","NA"
"8MGBA","0.00","NA","NA","NA","NA","NA","NA","NA"
"A101D","0.00","NA","NA","NA","NA","NA","NA","NA"
"A172","0.00","NA","NA","NA","NA","NA","NA","NA"
"A204","0.00","NA","NA","NA","NA","NA","NA","NA"
"A2058","0.00","NA","NA","NA","NA","NA","NA","NA"
"A253","0.00","NA","NA","NA","NA","NA","NA","NA"
"A2780","0.00","NA","NA","NA","NA","NA","NA","NA"
"A375","0.00","NA","NA","NA","NA","NA","NA","NA"
"A388","0.00","NA","NA","NA","NA","NA","NA","NA"
"A3KAW","0.00","NA","NA","NA","NA","NA","NA","NA"
"A427","0.00","NA","NA","NA","NA","NA","NA","NA"
"A431","0.00","NA","NA","NA","NA","NA","NA","NA"
"A498","0.00","NA","NA","NA","NA","NA","NA","NA"
"A4Fuk","0.00","NA","NA","NA","NA","NA","NA","NA"
"A549","0.00","NA","NA","NA","NA","NA","NA","NA"
"A673","0.00","NA","NA","NA","NA","NA","NA","NA"
"A704","0.00","NA","NA","NA","NA","NA","NA","NA"
"ABC1","0.00","NA","NA","NA","NA","NA","NA","NA"
"ACHN","0.00","NA","NA","NA","NA","NA","NA","NA"
"ACN","0.00","NA","NA","NA","NA","NA","NA","NA"
"AGS","0.00","NA","NA","NA","NA","NA","NA","NA"
"ALLPO","0.00","NA","NA","NA","NA","NA","NA","NA"
"ALLSIL","0.00295210","24","21","21","20","20","19","17"
"AM38","0.00","NA","NA","NA","NA","NA","NA","NA"
"AMO1","0.00643435","24","22","21","19","17","16","15"
"AN3CA","0.00","NA","NA","NA","NA","NA","NA","NA"
"ARH77","0.00","NA","NA","NA","NA","NA","NA","NA"
"AsPC1","0.01","98","96","94","88","85","80","74"
"ASPC1","0.01633732","24","22","21","20","19","15","12"
"ATN1","0.00","NA","NA","NA","NA","NA","NA","NA"
"AU565","0.00","NA","NA","NA","NA","NA","NA","NA"
"AZ521","0.00332497","24","23","23","21","21","19","17"
"BALL1","0.07","52","50","48","45","45","45","40"
"BB30HNC","0.00","NA","NA","NA","NA","NA","NA","NA"
"BB49HNC","0.00","NA","NA","NA","NA","NA","NA","NA"
"BB65RCC","0.00","NA","NA","NA","NA","NA","NA","NA"
"BC1","0.00","NA","NA","NA","NA","NA","NA","NA"
"BC3","0.00","NA","NA","NA","NA","NA","NA","NA"
"BCPAP","0.00","NA","NA","NA","NA","NA","NA","NA"
"BDCM","0.00323887","23","22","22","22","20","19","16"
"BE13","0.00","NA","NA","NA","NA","NA","NA","NA"
"Becker","0.00","NA","NA","NA","NA","NA","NA","NA"
"BEN","0.01","98","96","94","84","84","81","77"
"BFTC905","0.00","NA","NA","NA","NA","NA","NA","NA"
"BFTC909","0.00","NA","NA","NA","NA","NA","NA","NA"
