"cell_line","ref","min","3_times","5_times","25_times","50_times","100_times","250_times"
"22RV1","0.04","28","26","26","21","19","17","13"
"2313287","0.05","12","7","7","5","5","5","2"
"5637","0.03","7","4","4","3","2","1","1"
"639V","0.00","NA","NA","NA","NA","NA","NA","NA"
"647V","12.26","3","1","1","0","0","0","0"
"697","0.03","5","4","4","3","2","2","1"
"769P","0.54","3","2","2","2","2","2","1"
"786O","0.28","2","1","1","1","0","0","0"
"8305C","3.60","5","2","0","0","0","0","0"
"8505C","0.01","12","11","11","11","10","10","9"
"8MGBA","13.64","2","0","0","0","0","0","0"
"A101D","0.01","4","3","3","3","2","1","1"
"A172","0.04","4","3","3","0","0","0","0"
"A204","18.38","1","0","0","0","0","0","0"
"A2058","0.20","10","8","8","5","3","2","1"
"A253","3.72","9","5","5","1","1","0","0"
"A2780","0.11","7","6","6","6","4","3","3"
"A375","0.26","7","3","3","2","2","2","2"
"A3KAW","0.03","9","8","8","4","4","4","4"
"A498","0.08","5","4","4","3","3","2","2"
"A549","0.19","4","3","3","2","0","0","0"
"A673","8.00","4","3","3","1","0","0","0"
"A704","4.39","4","3","3","1","1","0","0"
"ABC1","0.32","5","4","4","4","3","2","2"
"ACHN","71.43","2","1","0","0","0","0","0"
"AGS","0.01","17","15","15","13","13","13","12"
"AM38","15.36","9","5","4","0","0","0","0"
"AMO1","0.26","6","4","4","2","0","0","0"
"AN3CA","0.06","16","12","11","9","8","6","2"
"ASPC1","0.07","1","0","0","0","0","0","0"
"AU565","0.23","11","9","9","8","5","3","3"
"BCPAP","7.17","5","3","2","0","0","0","0"
"BDCM","0.20","2","1","1","1","0","0","0"
"BEN","0.03","5","4","4","4","4","4","4"
"BFTC905","0.41","2","1","1","0","0","0","0"
"BFTC909","0.00","NA","NA","NA","NA","NA","NA","NA"
"BHY","0.02","5","4","4","3","3","2","2"
"BL41","0.01","6","5","4","4","4","4","4"
"BL70","0.03","9","8","8","7","6","6","6"
"BT20","0.11","9","6","6","3","3","0","0"
"BT474","0.04","18","15","15","14","14","14","13"
"BT549","47.80","1","0","0","0","0","0","0"
"BV173","0.03","4","3","2","1","1","1","1"
"C2BBE1","0.78","1","0","0","0","0","0","0"
"C32","0.00","NA","NA","NA","NA","NA","NA","NA"
"C3A","0.03","9","7","7","6","6","5","4"
"CA46","0.05","8","6","5","5","5","5","5"
"CAKI1","9.10","1","0","0","0","0","0","0"
"CAL120","0.04","3","2","2","1","1","1","1"
"CAL12T","0.09","9","8","8","8","8","6","5"
"CAL148","350.57","2","0","0","0","0","0","0"
"CAL27","0.22","7","6","5","4","4","3","3"
"CAL33","0.04","7","5","4","4","4","4","2"
"CAL51","0.02","4","3","3","3","3","3","1"
"CAL54","11.40","1","0","0","0","0","0","0"
"CAL62","46.85","3","0","0","0","0","0","0"
