"cell_line","ref","min","3_times","5_times","25_times","50_times","100_times","250_times"
"1321N1XXX","0.00254261","21","20","20","20","19","17","17"
"22RV1","0.001","90","89","88","82","81","79","77"
"22RV1XXX","0.00822804","24","23","22","20","19","19","19"
"2313287","2764.858","2","1","0","0","0","0","0"
"42MGBAXXX","0.00254261","20","19","19","17","16","15","15"
"5637XXX","0.00292016","24","23","23","20","20","19","19"
"639VXXX","0.04371729","24","21","20","20","19","15","0"
"697","0.002","99","96","94","90","90","87","83"
"697XXX","0.00254261","24","23","22","20","20","19","17"
"769PXXX","0.08745405","24","21","21","15","12","0","0"
"786OXXX","0.07082496","22","20","17","17","17","16","0"
"8305C","0.002","38","35","35","33","32","30","26"
"8305CXXX","0.00994848","24","23","23","21","20","18","17"
"8505CXXX","0.01020778","24","23","23","20","18","18","17"
"8MGBAXXX","0.04198560","20","18","18","15","15","12","0"
"A172XXX","0.030916","24","23","22","19","19","18","16"
"A204","0.003","90","83","79","74","70","64","60"
"A204XXX","0.00652834","24","23","21","21","20","16","15"
"A2058","0.001","54","52","50","48","45","44","42"
"A2058XXX","0.00286317","24","23","23","21","21","19","18"
"A253XXX","0.00356690","23","22","22","20","20","19","19"
"A2780XXX","0.00464888","24","23","23","18","18","18","18"
"A375XXX","0.00714965","24","22","22","18","16","15","14"
"A3KAW","0.001","89","87","86","82","81","76","74"
"A431","0.007","52","51","51","47","47","42","38"
"A4Fuk","0.002","52","49","49","47","44","43","41"
"A549XXX","0.00499978","24","23","23","21","20","19","17"
"A673","0.001","52","50","50","48","48","48","46"
"A673XXX","0.03666379","22","20","20","18","16","15","0"
"A704","0.001","27","26","26","25","25","24","24"
"ACHNXXX","0.04573277","21","18","18","16","15","13","0"
"ALLPO","0.002","90","88","84","82","78","77","71"
"ALLSILXXX","0.00295210","24","21","21","20","20","19","17"
"AM38","0.004","92","90","90","87","86","85","83"
"AMO1XXX","0.00643435","24","22","21","19","17","16","15"
"AN3CA","0.005","52","48","48","44","44","42","39"
"AN3CAXXX","0.00854532","23","22","22","20","20","20","19"
"ARH77","0.002","39","38","38","37","33","32","30"
"AsPC1","0.007","90","88","87","81","77","75","67"
"ASPC1XXX","0.01633732","24","22","21","20","19","15","12"
"ATN1","0.001","92","90","89","86","82","79","77"
"AU565","0.001","90","88","85","83","83","80","76"
"AU565XXX","0.00520336","23","22","21","20","18","18","18"
"AZ521XXX","0.00332497","24","23","23","21","21","19","17"
"BALL1","0.067","52","50","48","45","45","45","40"
"BB49HNC","0.001","116","114","114","111","110","108","103"
"BC1","0.002","39","38","38","37","36","35","32"
"BCPAPXXX","0.08835746","24","21","20","16","16","0","0"
"BDCMXXX","0.00323887","23","22","22","22","20","19","16"
"BE13","0.001","92","90","87","83","79","78","76"
"Becker","0.001","130","127","126","121","115","111","110"
"BEN","0.014","90","86","85","76","75","71","67"
"BFTC909","0.002","66","64","62","61","59","59","55"
"BFTC909XXX","0.01221448","22","21","21","18","18","18","18"
"BGC823XXX","0.02868883","24","22","22","22","20","19","16"
"BHT101","0.001","38","36","36","36","36","34","33"
"BL41","0.001","40","39","39","36","33","31","30"
"BL41XXX","0.00280359","24","23","23","21","21","20","20"
"BL70XXX","0.00982259","24","22","21","20","19","19","17"
"BPH1","0.001","90","85","83","78","76","73","70"
"BT20","0.004","90","88","87","84","82","80","76"
"BT20XXX","0.00254261","24","23","23","22","22","22","21"
"BT474","0.012","90","87","85","79","78","75","71"
"BT474XXX","0.01655662","23","20","20","19","19","19","18"
"BT549","0.119","27","25","25","25","22","21","17"
"BT549XXX","0.00515594","24","23","22","19","19","19","18"
"BxPC3","0.002","70","68","67","65","62","62","56"
"BXPC3XXX","0.01028380","20","19","19","16","15","15","15"
"C2BBe1","0.002","86","83","83","81","80","78","72"
"C2BBE1XXX","0.05444059","23","22","22","20","18","15","0"
"C32","0.003","90","88","87","82","80","78","70"
"C32XXX","0.00667354","24","23","23","21","20","19","17"
"C3A","0.003","90","88","88","83","83","80","74"
"C3AXXX","0.02772779","22","20","20","19","18","18","15"
"C8166","0.027","92","89","89","87","87","84","79"
"CA46","0.375","40","38","37","31","25","21","19"
"CAKI1","0.005","90","88","85","80","78","71","66"
"CAKI2XXX","0.01274291","24","23","23","22","21","20","15"
"CAL120","0.004","90","88","87","82","82","79","72"
"CAL12TXXX","0.00608818","19","18","18","17","16","14","10"
"CAL27XXX","0.00267777","22","21","21","20","19","16","14"
"CAL33","0.001","90","87","87","83","81","79","76"
"CAL39","0.002","52","50","50","45","44","43","40"
"CAL54","0.005","52","51","51","48","46","45","41"
"CAL72","0.002","90","88","88","87","87","83","79"
"CAL78XXX","0.00558513","24","23","23","21","21","19","19"
"CAL851XXX","0.01636847","24","22","22","20","17","14","11"
"CALU1XXX","0.02068818","24","23","23","21","21","18","18"
"Calu3","0.033","52","50","49","46","45","42","34"
"CALU3XXX","0.04634737","23","22","22","19","17","15","0"
"Calu6","0.001","130","128","128","123","122","118","114"
"CALU6XXX","0.00351322","19","18","18","17","16","15","13"
"CAMA1","0.001","86","85","85","81","80","79","77"
"CAMA1XXX","0.01084603","24","22","22","21","20","20","20"
"CAPAN1","0.015","51","49","48","47","46","43","40"
"Capan2","0.054","52","50","49","47","44","42","37"
"CAPAN2XXX","0.00254261","24","23","23","21","19","18","16"
"CaR1","0.009","38","37","36","34","34","30","27"
"CAS1","0.001","92","91","91","90","90","89","85"
"CAS1XXX","0.02527586","24","23","22","22","20","19","18"
"CaSki","0.001","90","89","88","84","81","79","78"
"CCK81XXX","0.03814608","21","20","20","12","12","10","0"
"CCRFCEM","0.006","67","64","64","64","61","60","58"
"CESS","1.378","25","22","22","17","15","15","7"
"CFPAC1","0.014","52","50","50","48","45","43","39"
"ChaGoK1","0.005","39","37","37","37","37","35","33"
"CHL1XXX","0.00716042","24","22","22","21","19","17","17"
"CHP126","0.061","29","23","23","21","20","19","18"
"CHP134","0.140","25","23","23","16","14","10","7"
"CHP212","0.001","91","88","83","79","73","68","65"
"CHP212XXX","0.00578004","21","17","17","16","16","16","15"
"CI1XXX","0.00435680","24","23","23","20","18","18","17"
"CMK86XXX","0.01233573","24","22","21","20","19","18","17"
"COLO201XXX","0.00637875","23","21","21","18","18","16","14"
"COLO205","0.001","39","36","35","34","33","31","28"
"COLO205XXX","0.00254261","23","21","21","18","17","17","15"
"COLO320XXX","0.06702995","24","23","20","16","15","11","0"
"COLO320HSR","0.022","92","88","88","81","78","74","70"
"COLO668","0.023","90","88","88","79","77","75","69"
"COLO677XXX","0.02926437","24","23","23","20","19","16","12"
"COLO678","0.043","52","51","50","47","44","41","35"
"COLO678XXX","0.04036155","24","23","22","21","21","19","0"
"COLO679XXX","0.00885264","24","22","21","19","19","16","15"
"COLO680N","0.005","90","88","87","79","76","73","69"
"COLO684","0.008","52","48","46","45","43","40","37"
