"cell_line","tissue_type","No_of_drugs_tried","No_of_targets"
"1321N1","CENTRAL NERVOUS SYSTEM","21","34"
"22RV1","PROSTATE","122","195"
"22RV1","PROSTATE","24","38"
"2313287","GI TRACT","78","125"
"42MGBA","CENTRAL NERVOUS SYSTEM","20","32"
"5637","BLADDER","122","195"
"5637","URINARY TRACT","24","38"
"639V","BLADDER","122","195"
"639V","URINARY TRACT","24","38"
"647V","BLADDER","98","157"
"697","BLOOD","153","245"
"697","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"769P","KIDNEY","122","195"
"769P","KIDNEY","24","38"
"7860","KIDNEY","98","157"
"786O","KIDNEY","22","35"
"8305C","THYROID","122","195"
"8305C","THYROID","24","38"
"8505C","THYROID","121","194"
"8505C","THYROID","24","38"
"8MGBA","CENTRAL NERVOUS SYSTEM","158","253"
"8MGBA","CENTRAL NERVOUS SYSTEM","20","32"
"A101D","SKIN","138","221"
"A172","CENTRAL NERVOUS SYSTEM","113","181"
"A172","CENTRAL NERVOUS SYSTEM","24","38"
"A204","SOFT TISSUE","122","195"
"A204","SOFT TISSUE","24","38"
"A2058","SKIN","118","189"
"A2058","SKIN","24","38"
"A253","OTHER","134","214"
"A253","SALIVARY GLAND","23","37"
"A2780","OVARY","122","195"
"A2780","OVARY","24","38"
"A375","SKIN","119","190"
"A375","SKIN","24","38"
"A388","OTHER","138","221"
"A3KAW","GI TRACT","129","206"
"A427","LUNG","98","157"
"A431","SKIN","98","157"
"A498","KIDNEY","132","211"
"A4Fuk","SKIN","129","206"
"A549","LUNG","85","136"
"A549","LUNG","24","38"
"A673","BONE","120","192"
"A673","SOFT TISSUE","22","35"
"A704","KIDNEY","117","187"
"ABC1","LUNG","98","157"
"ACHN","KIDNEY","115","184"
"ACHN","KIDNEY","21","34"
"ACN","CENTRAL NERVOUS SYSTEM","138","221"
"AGS","GI TRACT","95","152"
"ALLPO","BLOOD","129","206"
"ALLSIL","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"AM38","CENTRAL NERVOUS SYSTEM","138","221"
"AMO1","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"AN3CA","ENDOMETRIUM","120","192"
"AN3CA","UTERUS","23","37"
"ARH77","BLOOD","77","123"
"ASPC1","PANCREAS","24","38"
"ATN1","BLOOD","129","206"
"AU565","BREAST","121","194"
"AU565","BREAST","23","37"
"AZ521","STOMACH","24","38"
"AsPC1","PANCREAS","98","157"
"BALL1","BLOOD","52","83"
"BB30HNC","UPPER AERODIGESTIVE TRACT","138","221"
"BB49HNC","UPPER AERODIGESTIVE TRACT","138","221"
"BB65RCC","KIDNEY","138","221"
"BC1","BLOOD","77","123"
"BC3","BLOOD","77","123"
"BCPAP","THYROID","122","195"
"BCPAP","THYROID","24","38"
"BDCM","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"BE13","BLOOD","129","206"
"BEN","LUNG","98","157"
"BFTC905","BLADDER","98","157"
"BFTC909","KIDNEY","120","192"
"BFTC909","KIDNEY","22","35"
"BGC823","STOMACH","24","38"
"BHT101","THYROID","98","157"
"BHY","UPPER AERODIGESTIVE TRACT","98","157"
"BL41","BLOOD","101","162"
"BL41","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"BL70","BLOOD","101","162"
"BL70","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"BOKU","UTERUS","62","99"
"BPH1","OTHER","98","157"
"BT20","BREAST","122","195"
"BT20","BREAST","24","38"
"BT474","BREAST","161","258"
"BT474","BREAST","23","37"
"BT549","BREAST","81","130"
"BT549","BREAST","24","38"
"BV173","BLOOD","125","200"
"BXPC3","PANCREAS","20","32"
"Becker","CENTRAL NERVOUS SYSTEM","138","221"
"BxPC3","PANCREAS","98","157"
"C2BBE1","LARGE INTESTINE","23","37"
"C2BBe1","GI TRACT","138","221"
"C32","SKIN","122","195"
"C32","SKIN","24","38"
"C33A","UTERUS","97","155"
"C3A","LIVER","120","192"
"C3A","LIVER","22","35"
"C4II","UTERUS","37","59"
"C8166","BLOOD","129","206"
"CA46","BLOOD","77","123"
"CAKI1","KIDNEY","98","157"
"CAKI2","KIDNEY","24","38"
"CAL120","BREAST","98","157"
"CAL12T","LUNG","117","187"
"CAL12T","LUNG","19","30"
"CAL148","BREAST","76","122"
"CAL27","UPPER AERODIGESTIVE TRACT","120","192"
"CAL27","UPPER AERODIGESTIVE TRACT","22","35"
"CAL33","UPPER AERODIGESTIVE TRACT","98","157"
"CAL39","UTERUS","98","157"
"CAL51","BREAST","98","157"
"CAL54","KIDNEY","98","157"
"CAL62","THYROID","98","157"
"CAL72","BONE","98","157"
"CAL78","BONE","24","38"
"CAL851","BREAST","121","194"
"CAL851","BREAST","24","38"
"CALU1","LUNG","24","38"
"CALU3","LUNG","23","37"
"CALU6","LUNG","19","30"
"CAMA1","BREAST","122","195"
"CAMA1","BREAST","24","38"
"CAPAN1","PANCREAS","98","157"
"CAPAN2","PANCREAS","24","38"
"CAS1","CENTRAL NERVOUS SYSTEM","162","259"
"CAS1","CENTRAL NERVOUS SYSTEM","24","38"
"CCFSTTG1","CENTRAL NERVOUS SYSTEM","37","59"
"CCK81","LARGE INTESTINE","21","34"
"CCRFCEM","BLOOD","129","206"
"CESS","BLOOD","77","123"
"CFPAC1","PANCREAS","61","98"
"CGTHW1","THYROID","138","221"
"CHL1","SKIN","122","195"
"CHL1","SKIN","24","38"
"CHP126","CENTRAL NERVOUS SYSTEM","77","123"
"CHP134","CENTRAL NERVOUS SYSTEM","25","40"
"CHP212","AUTONOMIC GANGLIA","119","190"
"CHP212","CENTRAL NERVOUS SYSTEM","21","34"
"CI1","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"CMK","BLOOD","434","694"
"CMK86","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"COLO201","LARGE INTESTINE","23","37"
"COLO205","GI TRACT","60","96"
"COLO205","LARGE INTESTINE","23","37"
"COLO320","LARGE INTESTINE","24","38"
"COLO320HSR","GI TRACT","129","206"
"COLO668","LUNG","138","221"
"COLO677","LUNG","24","38"
"COLO678","GI TRACT","122","195"
"COLO678","LARGE INTESTINE","24","38"
"COLO679","SKIN","122","195"
"COLO679","SKIN","24","38"
"COLO680N","UPPER AERODIGESTIVE TRACT","98","157"
"COLO684","UTERUS","129","206"
"COLO699","LUNG","24","38"
"COLO741","GI TRACT","118","189"
"COLO741","SKIN","20","32"
"COLO792","SKIN","98","157"
"COLO800","SKIN","138","221"
"COLO824","BREAST","138","221"
"COLO829","SKIN","135","216"
"CORL105","LUNG","119","190"
"CORL105","LUNG","21","34"
"CORL23","LUNG","122","195"
"CORL23","LUNG","24","38"
"CORL279","LUNG","76","122"
"CORL88","LUNG","121","194"
"COV318","OVARY","24","38"
"COV504","OVARY","23","37"
"CP50MELB","SKIN","98","157"
"CP66MEL","SKIN","118","189"
"CP67MEL","SKIN","25","40"
"CPCN","LUNG","77","123"
"CROAP2","BLOOD","8","13"
"CTB1","BLOOD","129","206"
"CTV1","BLOOD","125","200"
"CW2","GI TRACT","138","221"
"Ca922","UPPER AERODIGESTIVE TRACT","98","157"
"CaR1","GI TRACT","98","157"
"CaSki","UTERUS","89","142"
"Calu1","LUNG","37","59"
"Calu3","LUNG","98","157"
"Calu6","LUNG","138","221"
"Caov3","OVARY","37","59"
"Caov4","OVARY","13","21"
"Capan2","PANCREAS","98","157"
"ChaGoK1","LUNG","97","155"
"D247MG","CENTRAL NERVOUS SYSTEM","114","182"
"D263MG","CENTRAL NERVOUS SYSTEM","138","221"
"D283MED","CENTRAL NERVOUS SYSTEM","138","221"
"D336MG","CENTRAL NERVOUS SYSTEM","105","168"
"D392MG","CENTRAL NERVOUS SYSTEM","113","181"
"D423MG","CENTRAL NERVOUS SYSTEM","61","98"
