"gene","cell_line"
"ABL1","22RV1"
"ABL1","2313287"
"ABL1","253J"
"ABL1","253JBV"
"ABL1","42MGBA"
"ABL1","5637"
"ABL1","59M"
"ABL1","647V"
"ABL1","697"
"ABL1","769P"
"ABL1","786O"
"ABL1","8305C"
"ABL1","8505C"
"ABL1","8MGBA"
"ABL1","A101D"
"ABL1","A172"
"ABL1","A204"
"ABL1","A2058"
"ABL1","A2780"
"ABL1","A375"
"ABL1","A3KAW"
"ABL1","A498"
"ABL1","A4FUK"
"ABL1","A549"
"ABL1","A673"
"ABL1","A704"
"ABL1","ABC1"
"ABL1","ACCMESO1"
"ABL1","ACCS"
"ABL1","ACHN"
"ABL1","AGS"
"ABL1","ALEXANDERCELLS"
"ABL1","ALLSIL"
"ABL1","AM38"
"ABL1","AML193"
"ABL1","AMO1"
"ABL1","AN3CA"
"ABL1","ASPC1"
"ABL1","AU565"
"ABL1","BCPAP"
"ABL1","BDCM"
"ABL1","BECKER"
"ABL1","BEN"
"ABL1","BFTC905"
"ABL1","BFTC909"
"ABL1","BHY"
"ABL1","BICR16"
"ABL1","BICR18"
"ABL1","BICR31"
"ABL1","BICR56"
"ABL1","BICR6"
"ABL1","BL41"
"ABL1","BL70"
"ABL1","BT20"
"ABL1","BT474"
"ABL1","BT483"
"ABL1","BT549"
"ABL1","BV173"
"ABL1","BXPC3"
"ABL1","C2BBE1"
"ABL1","C32"
"ABL1","C3A"
"ABL1","CADOES1"
"ABL1","CAKI1"
"ABL1","CAKI2"
"ABL1","CAL120"
"ABL1","CAL12T"
"ABL1","CAL148"
"ABL1","CAL29"
"ABL1","CAL33"
"ABL1","CAL51"
"ABL1","CAL54"
"ABL1","CAL62"
"ABL1","CAL78"
"ABL1","CAL851"
"ABL1","CALU1"
"ABL1","CALU3"
"ABL1","CALU6"
"ABL1","CAMA1"
"ABL1","CAOV3"
"ABL1","CAOV4"
"ABL1","CAPAN1"
"ABL1","CAS1"
"ABL1","CCFSTTG1"
"ABL1","CCK81"
"ABL1","CFPAC1"
"ABL1","CGTHW1"
"ABL1","CHAGOK1"
"ABL1","CHL1"
"ABL1","CHP212"
"ABL1","CI1"
"ABL1","CJM"
"ABL1","CL11"
"ABL1","CL14"
"ABL1","CL34"
"ABL1","CL40"
"ABL1","CMK"
"ABL1","CMK115"
"ABL1","CMLT1"
"ABL1","COLO201"
"ABL1","COLO205"
"ABL1","COLO320"
"ABL1","COLO668"
"ABL1","COLO679"
"ABL1","COLO680N"
"ABL1","COLO684"
"ABL1","COLO699"
"ABL1","COLO704"
"ABL1","COLO741"
"ABL1","COLO775"
"ABL1","COLO783"
"ABL1","COLO818"
"ABL1","COLO829"
"ABL1","CORL23"
"ABL1","CORL24"
"ABL1","CORL279"
"ABL1","CORL47"
"ABL1","CORL51"
"ABL1","CORL88"
"ABL1","CORL95"
"ABL1","COV318"
"ABL1","COV362"
"ABL1","COV434"
"ABL1","COV504"
"ABL1","COV644"
"ABL1","CPCN"
"ABL1","CW2"
"ABL1","D341MED"
"ABL1","DANG"
"ABL1","DAOY"
"ABL1","DAUDI"
"ABL1","DB"
"ABL1","DBTRG05MG"
"ABL1","DEL"
"ABL1","DETROIT562"
"ABL1","DKMG"
"ABL1","DM3"
"ABL1","DMS114"
"ABL1","DMS153"
"ABL1","DMS273"
"ABL1","DMS454"
"ABL1","DMS53"
"ABL1","DMS79"
"ABL1","DND41"
"ABL1","DOHH2"
"ABL1","DU145"
"ABL1","DU4475"
"ABL1","DV90"
"ABL1","EB2"
"ABL1","EBC1"
"ABL1","ECC10"
"ABL1","ECC12"
"ABL1","ECGI10"
"ABL1","EFE184"
"ABL1","EFM19"
"ABL1","EFM192A"
"ABL1","EFO21"
"ABL1","EFO27"
"ABL1","EHEB"
"ABL1","EJM"
"ABL1","EN"
"ABL1","EOL1"
"ABL1","EPLC272H"
"ABL1","ES2"
"ABL1","ESS1"
"ABL1","EVSAT"
"ABL1","F36P"
"ABL1","FADU"
"ABL1","FTC133"
"ABL1","FTC238"
"ABL1","FU97"
"ABL1","FUOV1"
"ABL1","G361"
"ABL1","G401"
"ABL1","G402"
"ABL1","GAMG"
"ABL1","GCIY"
"ABL1","GCT"
"ABL1","GDM1"
"ABL1","GI1"
"ABL1","GMS10"
"ABL1","GOS3"
"ABL1","GRANTA519"
"ABL1","GSS"
"ABL1","H4"
"ABL1","HARA"
"ABL1","HCC1143"
"ABL1","HCC1171"
"ABL1","HCC1187"
"ABL1","HCC1195"
"ABL1","HCC1359"
"ABL1","HCC1395"
"ABL1","HCC1419"
"ABL1","HCC1428"
"ABL1","HCC1438"
"ABL1","HCC15"
"ABL1","HCC1500"
"ABL1","HCC1569"
"ABL1","HCC1588"
"ABL1","HCC1599"
"ABL1","HCC1806"
"ABL1","HCC1833"
"ABL1","HCC1954"
"ABL1","HCC202"
"ABL1","HCC2108"
"ABL1","HCC2218"
"ABL1","HCC2279"
"ABL1","HCC2935"
