"target_class","no_of_drugs"
"681640","Ser Thr Kinase"
"17AAG","Stress pathway"
"A443654","Ser Thr Kinase"
"A769662","Metabolism"
"A770041","Tyrosine kinase"
"ABT263","Apoptosis"
"ABT888","DNA repair"
"AEW541","Apoptosis"
"AG014699","DNA repair"
"AICAR","Metabolism"
"AKTinhibitorVII","Ser Thr Kinase"
"AMG706","Receptor Tyrosine kinase"
"AP24534","Tyrosine kinase"
"AS601245","Ser Thr Kinase"
"ATRA","Transcription"
"AUY922","Apoptosis"
"Axitinib","Receptor Tyrosine kinase"
"AZ628","Receptor Tyrosine kinase"
"AZD0530","Tyrosine kinase"
"AZD2281","DNA repair"
"AZD6244","Ser Thr Kinase"
"AZD6482","Apoptosis"
"AZD7762","Ser Thr Kinase"
"AZD8055","Ser Thr Kinase"
"BAY613606","Tyrosine kinase"
"Bexarotene","Transcription"
"BI2536","Ser Thr Kinase, Mitosis"
"BIBW2992","Receptor Tyrosine kinase"
"Bicalutamide","Metabolism"
"BID1870","Ser Thr Kinase"
"BIRB0796","Ser Thr Kinase"
"Bleomycin","DNA repair"
"BMS509744","Tyrosine kinase"
"BMS536924","Apoptosis"
"BMS708163","Cell cycle"
"BMS754807","Ser Thr Kinase"
"Bortezomib","Cell cycle"
"Bosutinib","Tyrosine kinase"
"Bryostatin","Angiogenesis, Apoptosis"
"BX795","Ser Thr Kinase"
"Camptothecin","DNA repair"
"CCT007093","Stress pathway"
"CCT018159","Stress pathway"
"CEP701","Tyrosine kinase"
"CGP082996","Ser Thr Kinase"
"CGP60474","Cell cycle"
"CHIR99021","Tyrosine kinase"
"CI1040","Ser Thr Kinase"
"Cisplatin","Replication"
"CMK","Ser Thr Kinase"
"Cyclopamine","Angiogenesis"
"Cytarabine","Metabolism"
"Dasatinib","Receptor Tyrosine kinase"
"DMOG","Transcription"
"Docetaxel","Mitosis"
"Doxorubicin","DNA repair"
"EHT1864","Cell cycle, Cytoskelton"
"Elesclomol","Stress pathway"
"Embelin","Apoptosis"
"EpothiloneB","Cytoskelton, Cell cycle"
"Erlotinib","Receptor Tyrosine kinase"
"Etoposide","DNA repair"
"FH535","Transcription"
"FTI277","Cell cycle"
"GDC0449","Angiogenesis"
"GDC0941","Apoptosis"
"Gefitinib","Receptor Tyrosine kinase"
"Gemcitabine","Replication"
"GNF2","Tyrosine kinase"
"GSK269962A","Ser Thr Kinase"
"GSK650394","Stress pathway"
"GW441756","Tyrosine kinase"
"GW843682X","Ser Thr Kinase"
"Imatinib","Receptor Tyrosine kinase"
"IPA3","Ser Thr Kinase"
"Irinotecan","DNA repair"
"JNJ26854165","Apoptosis"
"JNK9L","Ser Thr Kinase"
"JNKInhibitorVII","Ser Thr Kinase"
"JW7521","Ser Thr Kinase"
"KIN001135","DNA repair"
"KU55933","Cell cycle"
"L685458","Cell cycle, Apoptosis"
"Lapatinib","Tyrosine kinase"
"LBW242","Apoptosis"
"Lenalidomide","Angiogenesis"
"LFMA13","Transcription"
"Metformin","Metabolism"
"Methotrexate","Metabolism"
"MG132","Apoptosis"
"Midostaurin","Receptor Tyrosine kinase"
"MitomycinC","Replication"
"MK2206","Ser Thr Kinase"
"MS275","Chromatin"
"Nilotinib","Tyrosine kinase"
"NSC87877","Cell cycle"
"NU7441","Ser Thr Kinase"
"Nutlin3","Apoptosis"
"NVPBEZ235","Apoptosis"
"NVPTAE684","Receptor Tyrosine kinase"
"ObatoclaxMesyla","Apoptosis"
"OSI906","Receptor Tyrosine kinase"
"PAC1","Apoptosis"
"Paclitaxel","Mitosis"
"Panobinostat","Chromatin"
"Parthenolide","Apoptosis"
"Pazopanib","Receptor Tyrosine kinase, Angiogenesis"
"PD0325901","Ser Thr Kinase"
"PD0332991","Cell cycle"
"PD173074","Receptor Tyrosine kinase, Angiogenesis"
"PF02341066","Receptor Tyrosine kinase"
"PF4708671","Ser Thr Kinase"
"PF562271","Tyrosine kinase"
"PHA665752","Receptor Tyrosine kinase"
"PLX4720","Ser Thr Kinase"
"Pyrimethamine","Metabolism"
"QS11","Apoptosis"
"RAF265","Ser Thr Kinase, Angiogenesis"
"Rapamycin","Ser Thr Kinase"
"RDEA119","Ser Thr Kinase"
"RO3306","Ser Thr Kinase, Cell cycle"
"Roscovitine","Cell cycle"
"Salubrinal","Stress pathway, Apoptosis"
"SB216763","Ser Thr Kinase"
"SB590885","Ser Thr Kinase"
"Shikonin",""
"SL01011","Ser Thr Kinase"
"Sorafenib","Ser Thr Kinase"
"STritylLcystein","Cytoskelton"
"Sunitinib","Receptor Tyrosine kinase"
"Temsirolimus","Cell cycle, Angiogenesis"
"Thapsigargin","Cytoskelton"
"Tipifarnib","Ser Thr Kinase"
"TKI258","Receptor Tyrosine kinase"
"Topotecan","DNA repair"
"TW37","Apoptosis"
"Vinblastine","Cytoskelton, Cell cycle"
"Vinorelbine","Mitosis"
"Vorinostat","Chromatin"
"VX680","Cell cycle"
"VX702","Ser Thr Kinase, Apoptosis"
"WH4023","Tyrosine kinase"
"WZ184","Tyrosine kinase"
"XMD885","Ser Thr Kinase"
"ZD-6474","Receptor Tyrosine kinase, Angiogenesis"
"ZLLNleCHO","Cell cycle"
"ZM447439","Ser Thr Kinase"
