"drug","ref","min","3_times","5_times","25_times","50_times","100_times","250_times"
"681640","0.136","446","439","427","329","263","197","123"
"A443654","0.022","284","276","262","136","113","92","72"
"A769662","0.861","318","315","315","282","221","63","0"
"ABT263","0.016","474","465","460","435","415","391","350"
"ABT888","5.426","456","443","428","315","199","36","0"
"AEW541","0.13657329","500","486","476","379","271","0","0"
"AICAR","88.146","505","489","455","280","202","151","80"
"AKTinhibit","0.151","318","317","313","281","243","194","128"
"AMG706","0.470","474","468","467","421","380","311","155"
"AP24534","0.012","318","317","317","297","262","230","182"
"AS601245","0.301","337","333","322","219","153","111","78"
"ATRA","0.021","429","426","426","422","418","414","411"
"AUY922","0.001","337","333","328","218","130","81","48"
"Axitinib","0.007","456","454","454","453","451","444","431"
"AZD0530","0.02172379","802","801","801","779","757","710","621"
"AZD2281","1.253","457","446","432","371","329","258","131"
"AZD6244","0.00254261","943","940","939","927","908","884","828"
"AZD6482","0.036","318","316","313","305","287","269","232"
"AZD8055","0.080","467","443","418","170","97","52","27"
"BAY613606","0.482","337","312","287","166","126","96","65"
"Bexarotene","0.052","337","336","335","332","331","325","297"
"BI2536","0.008","286","266","242","146","118","95","79"
"BIBW2992","0.007","456","454","451","430","420","402","367"
"Bicalutami","0.732","337","336","336","329","311","204","1"
"BID1870","0.505","446","429","398","204","136","94","47"
"BIRB0796","3.922","446","438","432","369","302","215","46"
"BMS509744","1.208","288","275","264","162","120","86","47"
"BMS536924","0.029","288","286","283","252","230","200","166"
"BMS754807","0.002","337","335","334","320","311","294","269"
"Bosutinib","0.083","459","458","455","388","338","285","217"
"Bryostatin","0.002","337","333","329","290","243","177","60"
"BX795","0.037","474","473","473","466","423","339","228"
"CGP082996","0.243","284","282","282","261","228","185","134"
"CGP60474","0.009","284","265","233","135","108","83","48"
"CHIR99021","0.215","318","315","312","296","274","262","210"
"CI1040","0.029","429","428","427","410","394","366","294"
"Cisplatin","0.791","429","406","384","244","168","111","64"
"CMK","0.699","287","279","267","193","151","109","61"
"Cyclopamin","5.835","275","269","264","212","181","142","66"
"Cytarabine","0.006","429","427","425","400","373","315","228"
"DMOG","6.550","318","316","313","270","208","152","85"
"Doxorubici","0.001","337","334","331","274","229","179","107"
"Embelin","1.594","337","304","247","62","34","21","10"
"Erlotinib","0.03891792","773","767","765","748","728","702","242"
"Etoposide","0.019","318","312","310","280","236","201","147"
"FH535","0.007","337","335","335","335","332","327","295"
"FTI277","0.185","318","317","316","293","262","216","99"
"GDC0449","1.321","456","455","455","434","405","350","248"
"GDC0941","0.051","467","463","457","401","356","296","204"
"Gefitinib","0.057","429","425","413","341","308","259","164"
"GNF2","0.164","284","280","279","275","268","258","217"
"GSK650394","0.516","337","330","317","240","196","152","103"
"GW441756","0.296","456","454","453","437","413","371","252"
"GW843682X","0.005","286","257","221","133","108","99","83"
"Imatinib","0.074","301","297","296","294","292","287","270"
"IPA3","1.178","337","331","326","288","259","238","195"
"Irinotecan","0.00277122","316","315","314","275","231","161","90"
"JNK9L","0.062","318","289","253","76","42","28","15"
"JNKInhibit","2.269","443","441","441","393","355","303","169"
"KIN001135","19.293","290","281","274","127","25","2","0"
"KU55933","3.262","442","435","425","312","231","150","26"
"L685458","0.08448730","488","482","477","465","447","0","0"
"Lapatinib","0.026","777","773","770","750","734","705","639"
"LBW242","0.00364412","500","499","497","493","490","486","481"
"Lenalidomi","2.145","456","453","450","408","364","245","54"
"LFMA13","17.818","337","329","317","170","43","1","0"
"Metformin","821.277","505","501","491","354","220","138","71"
"Methotrexa","0.001","429","427","425","401","386","368","343"
"MG132","0.013","290","286","281","234","221","200","178"
"Midostauri","0.046","318","306","281","168","125","84","53"
"MK2206","0.117","443","436","430","378","333","273","159"
"MS275","0.113","291","277","248","143","110","84","62"
"Nilotinib","0.00295210","873","867","865","861","858","857","853"
"NSC87877","5.556","318","312","305","277","254","213","67"
"NU7441","0.022","443","442","442","440","436","423","386"
"Nutlin3","0.00601894","501","500","500","500","499","499","498"
"Nutlin3","0.00601894","501","500","500","500","499","499","498"
"NVPTAE684","0.001","298","296","295","294","294","294","282"
"OSI906","0.039","337","333","330","317","307","293","255"
"PAC1","0.739","337","317","305","234","202","163","57"
"Panobinost","0.00262309","497","491","465","234","85","11","2"
"Parthenoli","1.335","289","283","274","226","194","150","90"
"Pazopanib","0.040","337","335","335","332","326","314","279"
"PD0325901","0.001","968","965","956","897","864","825","763"
"PD0325901","0.001","968","965","956","897","864","825","763"
"PD0332991","0.097","874","863","850","718","659","217","154"
"PD0332991","0.097","874","863","850","718","659","217","154"
"PD173074","0.012","473","472","471","470","467","464","456"
"PF2341066","0.02286231","501","498","496","487","479","460","355"
"PF562271","0.329","318","311","293","188","133","77","39"
"PHA665752","0.03103703","801","799","799","793","787","777","740"
"PHA665752","0.03103703","801","799","799","793","787","777","740"
"PLX4720","0.03356985","939","937","936","915","903","890","409"
"Pyrimetham","0.124","290","289","289","271","254","229","191"
"QS11","1.092","337","307","286","179","144","118","84"
"RAF265","0.08287233","457","432","404","289","184","0","0"
"RDEA119","0.005","467","466","464","447","439","422","382"
"RO3306","0.732","474","465","459","405","367","306","210"
"Roscovitin","5.730","278","263","243","155","116","85","47"
