"drug_name","Pubchem_id","drug_targets","number_of_drug_targets","Chemical_formula","molecular_weight","polarizability","pI","volume","h_bond_acceptor","h_bond_donor","drug_class"
"681640","10384072","WEE1, CHK1","2","C20H11ClN2O3","362.766","36.39","","282.6","3","3","Ser Thr Kinase"
"17AAG","6505803","HSP90AA1, HSP90AB1, HSP90AB4P, HSP90B1, ","5","C31H43N3O8","585.6884","61.68","5.85","550.26","8","4","Stress pathway"
"A443654","10172943","AKT1, AKT2, AKT3","3","C24H23N5O","397.4723","44.62","11.61","356.81","4","3","Ser Thr Kinase"
"A769662","11360391","PRKAA1","1","C20H12N2O3S","360.386","36.98","","294.79","5","3","Metabolism"
"A770041","9549184","SRC","1","C34H39N9O3","621.732","68.86","9.67","559.34","8","2","Tyrosine kinase"
"ABT263","24978538","BCL2, BCLXL, BCLW","3","C47H55ClF3N5O6S3","974.613","101.39","6.88","837.13","10","2","Apoptosis"
"ABT888","11960529","PARP1, PARP2","2","C13H16N4O","244.2923","26.57","9.72","220.62","3","3","DNA repair"
"AEW541","11476171","IGF1R","1","C27H29N5O","439.5521","50.69","","405.01","5","1","Apoptosis"
"AG014699","9931953","PARP1, PARP2","2","C19H21FN3O5P","421.3593","37.14","11.39","","2","3","DNA repair"
"AICAR","65110","PRKAA1, ","1","C9H15N4O8P","338.2112","28.95","2.99","256.52","9","6","Metabolism"
"AKTinhibitorVIII","16218954","AKT1, AKT2, AKT3","3","C36H32F3N7O4","683.679","61.82","9.76","","5","2","Ser Thr Kinase"
"AMG706","11667893","VEGFR1, VEGFR2, RET, KIT, PDGFRA, PDGFRB","6","C22H23N5O","373.4509","39.38","9.05","341.74","5","3","Receptor Tyrosine kinase"
"AP24534","24826799","ABL1","1","C29H27F3N6O","532.5595","56.18","9.67","461.32","5","1","Tyrosine kinase"
"AS601245","11422035","JNK1, JNK2, JNK3","3","C20H16N6S","372.446","39.38","8.38","317.96","6","2","Ser Thr Kinase"
"ATRA","444795","RXRB, RXRG, RAR1","3","C20H28O2","300.4351","36.62","","312.36","2","1","Transcription"
"AUY922","10096043","HSP90AA1, HSP90AB1, HSP90AB4P, HSP90B1, ","5","C26H31N3O5","465.5414","50.83","7.32","425.03","7","3","Apoptosis"
"Axitinib","6450551","PDGFRA, PDGFRB, KIT, VEGFR2","4","C22H18N4OS","386.47","42.67","9","334.27","3","2","Receptor Tyrosine kinase"
"AZ628","11676786","BRAF","1","C27H25N5O2","451.5197","48.23","8.81","410.75","5","2","Receptor Tyrosine kinase"
"AZD0530","10302451","SRC, ABL1","2","C27H32ClN5O5","542.026","57.25","9.94","472.15","10","1","Tyrosine kinase"
"AZD2281","23725625","PARP1, PARP2","2","C24H23FN4O3","434.4628","43.54","5.96","375.65","4","1","DNA repair"
"AZD6244","10127622","MAP2K1, MAP2K2","2","C17H15BrClFN4O3","457.681","40.73","7.79","323.52","5","3","Ser Thr Kinase"
"AZD6482","44137675","PI3KCB, PI3KC2B","2","C22H24N4O4","408.4504","42.77","3.32","364.43","7","2","Apoptosis"
"AZD7762","1152667","CHK1, CHK2","2","C18H21FN4O2S","376.448","39.45","12.28","324.29","4","4","Ser Thr Kinase"
"AZD8055","25262965","MTOR","1","C25H31N5O4","465.5447","51.44","8.89","425.97","9","1","Ser Thr Kinase"
"BAY613606","16760671","SYK","1","C20H23ClN6O5","462.887","40.66","9.05","","7","2","Tyrosine kinase"
"Bexarotene","82146","RXRA, RXRB, RXRG","3","C24H28O2","348.4779","40.89","","349.49","2","1","Transcription"
"BI2536","11364421","PLK1, PLK2, PLK3","3","C28H39N7O3","521.6544","59.67","10","491.84","8","2","Ser Thr Kinase, Mitosis"
"BIBW2992","44569596","EGFR, ERBB2","2","C25H26ClFN4O3","484.95","50.8","10.7","417.7","6","2","Receptor Tyrosine kinase"
"Bicalutamide","2375","AR","1","C18H14F4N2O4S","430.373","36.68","3.95","332.45","5","2","Metabolism"
"BID1870","25023738","RSK1, RSK2, RSK3, PLK1, AURKB","5","C19H23F2N5O2","391.415","39.81","6.59","342.82","6","2","Ser Thr Kinase"
"BIRB0796","156422","MAPK11, MAPK12, MAPK13, MAPK14, JNK2","5","C31H37N5O3","527.6572","58.53","9.11","495.63","5","2","Ser Thr Kinase"
"Bleomycin","5460769","DNAdamage","1","C55H84N17O21S3","1415.552","140.88","11.41","1211.93","28","20","DNA repair"
"BMS509744","20635522","ITK","1","C31H39N5O4S2","609.802","67.99","9.83","555.7","6","2","Tyrosine kinase"
"BMS536924","10390396","IGF1R","1","C25H26ClN5O3","479.959","51.4","8.35","409.95","8","4","Apoptosis"
"BMS708163","46883536","Gamma-secretase","1","C20H17ClF4N4O4S","520.885","44.02","5.28","394.32","5","1","Cell cycle"
"BMS754807","24785538","IGF1R","1","C23H24FN9O","461.4948","48.11","8.81","389.5","7","3","Ser Thr Kinase"
"Bortezomib","387447","Proteasome","1","C19H25BN4O4","384.237","40.25","6.13","364.25","6","4","Cell cycle"
"Bosutinib","5328940","ABL1, SRC, TEC","3","C26H29Cl2N5O3","530.446","56.2","11.96","460.51","8","1","Tyrosine kinase"
"Bryostatin","5280757","PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCH","10","C47H68O17","905.0326","96.01","3.96","847.67","12","4","Angiogenesis, Apoptosis"
"BX795","10077147","TBK1, PDK1, IKBKE, AURKB, AURKC","5","C23H26IN7O2S","591.468","56","8.96","434.87","6","4","Ser Thr Kinase"
"Camptothecin","104842","TOP1, ","1","C22H20N2O5","392.4046","41.43","6.79","336.23","5","2","DNA repair"
"CCT007093","NA","PPM1D","1","C15H12OS2","272.385","29.12","","229.13","1","0","Stress pathway"
"CCT018159","NA","HSP90","1","C17H15ClN2O3","330.766","33.72","5.27","271.18","5","3","Stress pathway"
"CEP701","126565","FLT3, JAK2, NTRK1, RET","4","C26H21N3O4","439.4626","46.9","5.38","364.76","4","3","Tyrosine kinase"
"CGP082996","24825971","CDK4","1","C27H32N6O","456.5826","53.07","9.5","426.41","6","4","Ser Thr Kinase"
"CGP60474","644215","CDK1, CDK2, CDK5, CDK7, CDK9","5","C18H18ClN5O","355.821","38.53","9.22","307.17","6","3","Cell cycle"
"CHIR99021","9956119","GSK3B","1","C22H18Cl2N8","465.338","48.14","9.46","378.71","7","3","Tyrosine kinase"
"CI1040","6918454","MAP2K1, MAP2K2","2","C17H14ClF2IN2O2","478.66","39.33","3.89","308.32","3","2","Ser Thr Kinase"
"Cisplatin","84691","DNAdamage","1","Cl2H6N2Pt","300.051","1.99","","","1","1","Replication"
"CMK","NA","RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA4, RPS6","6","C17H17ClN4O2","344.795","35.76","11.08","292.08","5","2","Ser Thr Kinase"
"Cyclopamine","442972","SMO","1","C27H41NO2","411.6199","50.64","","418.22","3","2","Angiogenesis"
