"cell_line","drug","ref"
"1321N1#","17AAG","0.22807844"
"1321N1#","AEW541","8"
"1321N1#","AZD0530","8"
"1321N1#","AZD6244","8"
"1321N1#","Erlotinib","8"
"1321N1#","L685458","8"
"1321N1#","Lapatinib","8"
"1321N1#","LBW242","8"
"1321N1#","Nutlin3","8"
"1321N1#","Paclitaxel","0.00254261"
"1321N1#","Panobinost","0.07514818"
"1321N1#","PD0325901","8"
"1321N1#","PF2341066","8"
"1321N1#","PHA665752","8"
"1321N1#","PLX4720","8"
"1321N1#","RAF265","8"
"1321N1#","Sorafenib","8"
"1321N1#","TAE684","3.00120377"
"1321N1#","TKI258","2.65323901"
"1321N1#","Topotecan","0.14827486"
"1321N1#","ZD6474","5.60110235"
"22RV1#","17AAG","0.32970169"
"22RV1","17AAG","3.478"
"22RV1","681640","40.029"
"22RV1","A769662","35.452"
"22RV1","ABT263","147.645"
"22RV1","ABT888","439.560"
"22RV1#","AEW541","2.32992410"
"22RV1","AICAR","8975.382"
"22RV1","AKTinhibit","6.576"
"22RV1","AMG706","96.950"
"22RV1","AP24534","39.396"
"22RV1","AS601245","85.242"
"22RV1","ATRA","950.713"
"22RV1","AUY922","0.035"
"22RV1","Axitinib","17.435"
"22RV1#","AZD0530","8"
"22RV1","AZD2281","290.482"
"22RV1","AZD6244","63.062"
"22RV1#","AZD6244","8"
"22RV1","AZD6482","102.089"
"22RV1","AZD7762","1.805"
"22RV1","AZD8055","0.708"
"22RV1","BAY613606","34.421"
"22RV1","Bexarotene","47.897"
"22RV1","BIBW2992","33.809"
"22RV1","Bicalutami","37.626"
"22RV1","BID1870","8.561"
"22RV1","BIRB0796","230.914"
"22RV1","Bleomycin","7.285"
"22RV1","BMS754807","1.854"
"22RV1","Bosutinib","59.306"
"22RV1","Bryostatin","0.407"
"22RV1","BX795","22.659"
"22RV1","Camptothec","0.009"
"22RV1","CEP701","1.398"
"22RV1","CHIR99021","194.275"
"22RV1","CI1040","142.469"
"22RV1","Cisplatin","25.044"
"22RV1","Cytarabine","2.749"
"22RV1","DMOG","299.211"
"22RV1","Docetaxel","0.003"
"22RV1","Doxorubici","0.021"
"22RV1","Elesclomol","0.011"
"22RV1","Embelin","22.329"
"22RV1","Epothilone","0.009"
"22RV1#","Erlotinib","8"
"22RV1","Etoposide","1.529"
"22RV1","FH535","2.622"
"22RV1","FTI277","90.091"
"22RV1","GDC0449","303.689"
"22RV1","GDC0941","2.449"
"22RV1","Gefitinib","49.747"
"22RV1","Gemcitabin","0.097"
"22RV1","GSK650394","141.577"
"22RV1","GW441756","11.520"
"22RV1","IPA3","1150.244"
"22RV1#","Irinotecan","0.08076466"
"22RV1","JNK9L","1.013"
"22RV1","JNKInhibit","683.701"
"22RV1","KU55933","788.462"
"22RV1#","L685458","8"
"22RV1#","Lapatinib","7.84730529"
"22RV1#","LBW242","8"
"22RV1","Lenalidomi","379.185"
"22RV1","LFMA13","423.641"
"22RV1","Metformin","17436.277"
"22RV1","Methotrexa","0.538"
"22RV1","Midostauri","9.657"
"22RV1","MitomycinC","0.145"
"22RV1","MK2206","21.367"
"22RV1","Nilotinib","152.903"
"22RV1#","Nilotinib","8"
"22RV1","NSC87877","1968.024"
"22RV1","NU7441","108.641"
"22RV1#","Nutlin3","8"
"22RV1","Nutlin3a","12.707"
"22RV1","NVPBEZ235","0.050"
"22RV1","ObatoclaxM","0.275"
"22RV1","OSI906","5.769"
"22RV1","PAC1","41.504"
"22RV1#","Paclitaxel","0.00822804"
"22RV1#","Panobinost","0.02768821"
"22RV1","Pazopanib","172.197"
"22RV1","PD0325901","4.685"
"22RV1#","PD0325901","8"
"22RV1","PD0332991","1.676"
"22RV1#","PD0332991","8"
"22RV1","PD173074","117.497"
"22RV1#","PF2341066","3.77289557"
"22RV1","PF562271","7.632"
"22RV1#","PHA665752","8"
"22RV1","PLX4720","794.222"
"22RV1#","PLX4720","8"
"22RV1","QS11","21.039"
"22RV1#","RAF265","5.36586666"
"22RV1","RDEA119","32.322"
"22RV1","RO3306","241.798"
"22RV1","SB216763","914.002"
"22RV1","SB590885","102.028"
"22RV1","Shikonin","4.593"
"22RV1","SL01011","597.130"
"22RV1#","Sorafenib","6.81924009"
"22RV1#","TAE684","4.14404583"
"22RV1","Temsirolim","0.213"
"22RV1","Thapsigarg","0.001"
"22RV1","Tipifarnib","3.208"
"22RV1#","TKI258","5.87925386"
"22RV1#","Topotecan","0.09905875"
"22RV1","Vinblastin","0.010"
"22RV1","Vinorelbin","0.009"
"22RV1","Vorinostat","2.585"
"22RV1","VX702","54.017"
"22RV1#","ZD6474","8"
"22RV1","ZM447439","119.065"
"2313287","AICAR","2764.858"
"2313287","Metformin","10912.265"
"42MGBA#","17AAG","0.05303809"
"42MGBA#","AEW541","2.68212986"
"42MGBA#","AZD0530","4.59794950"
"42MGBA#","AZD6244","8"
"42MGBA#","Erlotinib","8"
"42MGBA#","L685458","3.26775240"
"42MGBA#","Lapatinib","8"
"42MGBA#","LBW242","8"
"42MGBA#","Nutlin3","8"
"42MGBA#","Paclitaxel","0.00254261"
"42MGBA#","Panobinost","0.06895798"
"42MGBA#","PD0325901","5.87059021"
"42MGBA#","PF2341066","8"
"42MGBA#","PHA665752","8"
"42MGBA#","PLX4720","8"
"42MGBA#","Sorafenib","8"
"42MGBA#","TAE684","2.82759094"
"42MGBA#","TKI258","0.22924732"
"42MGBA#","Topotecan","0.03929398"
"42MGBA#","ZD6474","8"
"5637","17AAG","0.058"
"5637#","17AAG","0.07082279"
"5637","681640","3.189"
"5637","A769662","94.009"
"5637","ABT263","3.597"
"5637","ABT888","539.125"
"5637#","AEW541","5.00231409"
"5637","AICAR","5703.461"
"5637","AKTinhibit","223.998"
"5637","AMG706","39.806"
"5637","AP24534","4.881"
"5637","AS601245","75.751"
"5637","ATRA","448.546"
"5637","AUY922","0.029"
"5637","Axitinib","29.337"
"5637#","AZD0530","3.19223666"
"5637","AZD2281","7.879"
"5637","AZD6244","151.553"
"5637#","AZD6244","8"
"5637","AZD6482","145.933"
"5637","AZD7762","0.194"
"5637","AZD8055","1.770"
"5637","BAY613606","11.734"
"5637","Bexarotene","222.507"
"5637","BIBW2992","1.015"
"5637","Bicalutami","106.221"
"5637","BID1870","4.593"
"5637","BIRB0796","718.574"
"5637","Bleomycin","0.029"
"5637","BMS754807","0.602"
"5637","Bosutinib","1.138"
"5637","Bryostatin","0.232"
