"drug","cell_line","tissue_type","ic50","source"
"17AAG","1321N1","CENTRAL:NERVOUS:SYSTEM","0.22807844","CCLE"
"17AAG","22RV1","PROSTATE","0.329701692","CCLE"
"17AAG","42MGBA","CENTRAL:NERVOUS:SYSTEM","0.053038094","CCLE"
"17AAG","5637","URINARY:TRACT","0.07082279","CCLE"
"17AAG","639V","URINARY:TRACT","0.150094494","CCLE"
"17AAG","697","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.422571242","CCLE"
"17AAG","769P","KIDNEY","0.1517988","CCLE"
"17AAG","786O","KIDNEY","0.279530227","CCLE"
"17AAG","8305C","THYROID","0.375401258","CCLE"
"17AAG","8505C","THYROID","0.282174945","CCLE"
"17AAG","8MGBA","CENTRAL:NERVOUS:SYSTEM","0.234952629","CCLE"
"17AAG","A172","CENTRAL:NERVOUS:SYSTEM","0.267498583","CCLE"
"17AAG","A204","SOFT:TISSUE","0.029675882","CCLE"
"17AAG","A2058","SKIN","0.042496935","CCLE"
"17AAG","A253","SALIVARY:GLAND","0.339544863","CCLE"
"17AAG","A2780","OVARY","0.031109899","CCLE"
"17AAG","A375","SKIN","0.169737235","CCLE"
"17AAG","A549","LUNG","0.06676174","CCLE"
"17AAG","A673","BONE","0.198152512","CCLE"
"17AAG","ACHN","KIDNEY","0.678260922","CCLE"
"17AAG","ALLSIL","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.714353621","CCLE"
"17AAG","AMO1","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.025441425","CCLE"
"17AAG","AN3CA","ENDOMETRIUM","0.074334152","CCLE"
"17AAG","ASPC1","PANCREAS","0.072310209","CCLE"
"17AAG","AU565","BREAST","0.0233486","CCLE"
"17AAG","AZ521","STOMACH","0.315617204","CCLE"
"17AAG","BCPAP","THYROID","0.210629389","CCLE"
"17AAG","BDCM","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.204344377","CCLE"
"17AAG","BFTC909","KIDNEY","0.104652666","CCLE"
"17AAG","BGC823","STOMACH","0.058758914","CCLE"
"17AAG","BL41","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.764389515","CCLE"
"17AAG","BL70","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.284389943","CCLE"
"17AAG","BT20","BREAST","8","CCLE"
"17AAG","BT474","BREAST","0.044726733","CCLE"
"17AAG","BT549","BREAST","0.020397235","CCLE"
"17AAG","BXPC3","PANCREAS","0.187336221","CCLE"
"17AAG","C2BBE1","LARGE:INTESTINE","0.777057707","CCLE"
"17AAG","C32","SKIN","0.006673547","CCLE"
"17AAG","C3A","LIVER","0.027727799","CCLE"
"17AAG","CAKI2","KIDNEY","0.420389295","CCLE"
"17AAG","CAL12T","LUNG","0.183841035","CCLE"
"17AAG","CAL27","UPPER:AERODIGESTIVE:TRACT","0.166818783","CCLE"
"17AAG","CAL78","BONE","0.099586673","CCLE"
"17AAG","CAL851","BREAST","0.175339907","CCLE"
"17AAG","CALU1","LUNG","0.103493586","CCLE"
"17AAG","CALU3","LUNG","1.688857436","CCLE"
"17AAG","CALU6","LUNG","0.183477089","CCLE"
"17AAG","CAMA1","BREAST","0.141045213","CCLE"
"17AAG","CAPAN2","PANCREAS","0.046125766","CCLE"
"17AAG","CAS1","CENTRAL:NERVOUS:SYSTEM","1.019528747","CCLE"
"17AAG","CCK81","LARGE:INTESTINE","0.263275087","CCLE"
"17AAG","CHL1","SKIN","0.165819794","CCLE"
"17AAG","CHP212","AUTONOMIC:GANGLIA","0.029792815","CCLE"
"17AAG","CI1","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.479196012","CCLE"
"17AAG","CMK86","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.322528064","CCLE"
"17AAG","COLO201","LARGE:INTESTINE","0.046831898","CCLE"
"17AAG","COLO205","LARGE:INTESTINE","0.014756449","CCLE"
"17AAG","COLO320","LARGE:INTESTINE","1.569168806","CCLE"
"17AAG","COLO677","LUNG","0.238073558","CCLE"
"17AAG","COLO678","LARGE:INTESTINE","0.040361557","CCLE"
"17AAG","COLO679","SKIN","0.062656693","CCLE"
"17AAG","COLO699","LUNG","0.336357296","CCLE"
"17AAG","COLO741","SKIN","1.479850173","CCLE"
"17AAG","CORL105","LUNG","0.887269139","CCLE"
"17AAG","CORL23","LUNG","0.608988762","CCLE"
"17AAG","COV318","OVARY","8","CCLE"
"17AAG","COV504","OVARY","0.347438395","CCLE"
"17AAG","DAOY","CENTRAL:NERVOUS:SYSTEM","0.477916837","CCLE"
"17AAG","DBTRG05MG","CENTRAL:NERVOUS:SYSTEM","0.276005715","CCLE"
"17AAG","DEL","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.035145033","CCLE"
"17AAG","DETROIT562","UPPER:AERODIGESTIVE:TRACT","0.238989621","CCLE"
"17AAG","DKMG","CENTRAL:NERVOUS:SYSTEM","0.319927543","CCLE"
"17AAG","DMS114","LUNG","0.695213139","CCLE"
"17AAG","DOHH2","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.409685045","CCLE"
"17AAG","DOV13","OVARY","0.350310981","CCLE"
"17AAG","DU145","PROSTATE","0.044969238","CCLE"
"17AAG","DV90","LUNG","0.120939881","CCLE"
"17AAG","EB1","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.812782228","CCLE"
"17AAG","EB2","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","1.756111383","CCLE"
"17AAG","EBC1","LUNG","0.018749278","CCLE"
"17AAG","EFE184","ENDOMETRIUM","0.387381613","CCLE"
"17AAG","EFM19","BREAST","0.058103666","CCLE"
"17AAG","EFO21","OVARY","0.288561821","CCLE"
"17AAG","EFO27","OVARY","0.366359919","CCLE"
"17AAG","EM2","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.130336672","CCLE"
"17AAG","EN","ENDOMETRIUM","8","CCLE"
"17AAG","ES2","OVARY","0.69963789","CCLE"
"17AAG","ESS1","ENDOMETRIUM","0.11770121","CCLE"
"17AAG","F36P","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.435421079","CCLE"
"17AAG","FADU","UPPER:AERODIGESTIVE:TRACT","0.019284135","CCLE"
"17AAG","FU97","STOMACH","0.062858187","CCLE"
"17AAG","FUOV1","OVARY","0.373221964","CCLE"
"17AAG","G361","SKIN","0.089309976","CCLE"
"17AAG","G401","SOFT:TISSUE","0.085478991","CCLE"
"17AAG","G402","SOFT:TISSUE","0.073431857","CCLE"
"17AAG","GAMG","CENTRAL:NERVOUS:SYSTEM","0.109149978","CCLE"
"17AAG","GB1","CENTRAL:NERVOUS:SYSTEM","0.768663943","CCLE"
"17AAG","GCIY","STOMACH","0.793316543","CCLE"
"17AAG","GCT","SOFT:TISSUE","0.330548614","CCLE"
"17AAG","GI1","CENTRAL:NERVOUS:SYSTEM","0.198652357","CCLE"
