"tissue_drug","ref","min","3_times","5_times","25_times","50_times","100_times","250_times","drug","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"AUTONOMIC:GANGLIA_17AAG","0.0297928","10","8","8","5","3","0","0","17AAG","0","0","0","2","2","6","0","0"
"AUTONOMIC:GANGLIA_681640","0","NA","NA","NA","NA","NA","NA","NA","681640","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_A443654","0","NA","NA","NA","NA","NA","NA","NA","A443654","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_A770041","0","NA","NA","NA","NA","NA","NA","NA","A770041","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_ABT263","0","NA","NA","NA","NA","NA","NA","NA","ABT263","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_ABT888","0","NA","NA","NA","NA","NA","NA","NA","ABT888","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_AEW541","0.164886","10","8","8","3","0","0","0","AEW541","0","0","0","0","2","8","0","0"
"AUTONOMIC:GANGLIA_AG014699","0","NA","NA","NA","NA","NA","NA","NA","AG014699","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_AICAR","0","NA","NA","NA","NA","NA","NA","NA","AICAR","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_AKTinhibitorVIII","0","NA","NA","NA","NA","NA","NA","NA","AKTinhibitorVIII","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_AMG706","0","NA","NA","NA","NA","NA","NA","NA","AMG706","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_AP24534","0","NA","NA","NA","NA","NA","NA","NA","AP24534","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_AS601245","0","NA","NA","NA","NA","NA","NA","NA","AS601245","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_ATRA","0","NA","NA","NA","NA","NA","NA","NA","ATRA","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_AUY922","0","NA","NA","NA","NA","NA","NA","NA","AUY922","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Axitinib","0","NA","NA","NA","NA","NA","NA","NA","Axitinib","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_AZ628","0","NA","NA","NA","NA","NA","NA","NA","AZ628","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_AZD0530","2.62498","10","7","0","0","0","0","0","AZD0530","0","0","0","0","0","10","0","0"
"AUTONOMIC:GANGLIA_AZD2281","0","NA","NA","NA","NA","NA","NA","NA","AZD2281","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_AZD6244","0.0115463","10","9","9","7","7","7","7","AZD6244","0","0","1","0","2","7","0","0"
"AUTONOMIC:GANGLIA_AZD6482","0","NA","NA","NA","NA","NA","NA","NA","AZD6482","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_AZD7762","0","NA","NA","NA","NA","NA","NA","NA","AZD7762","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_AZD8055","0","NA","NA","NA","NA","NA","NA","NA","AZD8055","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_BAY613606","0","NA","NA","NA","NA","NA","NA","NA","BAY613606","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Bexarotene","0","NA","NA","NA","NA","NA","NA","NA","Bexarotene","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_BI2536","0","NA","NA","NA","NA","NA","NA","NA","BI2536","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_BIBW2992","0","NA","NA","NA","NA","NA","NA","NA","BIBW2992","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Bicalutamide","0","NA","NA","NA","NA","NA","NA","NA","Bicalutamide","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_BID1870","0","NA","NA","NA","NA","NA","NA","NA","BID1870","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_BIRB0796","0","NA","NA","NA","NA","NA","NA","NA","BIRB0796","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Bleomycin","0","NA","NA","NA","NA","NA","NA","NA","Bleomycin","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_BMS509744","0","NA","NA","NA","NA","NA","NA","NA","BMS509744","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_BMS536924","0","NA","NA","NA","NA","NA","NA","NA","BMS536924","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_BMS708163","0","NA","NA","NA","NA","NA","NA","NA","BMS708163","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_BMS754807","0","NA","NA","NA","NA","NA","NA","NA","BMS754807","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Bortezomib","0","NA","NA","NA","NA","NA","NA","NA","Bortezomib","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Bosutinib","0","NA","NA","NA","NA","NA","NA","NA","Bosutinib","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Bryostatin1","0","NA","NA","NA","NA","NA","NA","NA","Bryostatin1","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_BX795","0","NA","NA","NA","NA","NA","NA","NA","BX795","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Camptothecin","0","NA","NA","NA","NA","NA","NA","NA","Camptothecin","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_CCT007093","0","NA","NA","NA","NA","NA","NA","NA","CCT007093","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_CCT018159","0","NA","NA","NA","NA","NA","NA","NA","CCT018159","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_CEP701","0","NA","NA","NA","NA","NA","NA","NA","CEP701","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_CGP082996","0","NA","NA","NA","NA","NA","NA","NA","CGP082996","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_CGP60474","0","NA","NA","NA","NA","NA","NA","NA","CGP60474","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_CHIR99021","0","NA","NA","NA","NA","NA","NA","NA","CHIR99021","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_CI1040","0","NA","NA","NA","NA","NA","NA","NA","CI1040","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Cisplatin","0","NA","NA","NA","NA","NA","NA","NA","Cisplatin","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_CMK","0","NA","NA","NA","NA","NA","NA","NA","CMK","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Cyclopamine","0","NA","NA","NA","NA","NA","NA","NA","Cyclopamine","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Cytarabine","0","NA","NA","NA","NA","NA","NA","NA","Cytarabine","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Dasatinib","0","NA","NA","NA","NA","NA","NA","NA","Dasatinib","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_DMOG","0","NA","NA","NA","NA","NA","NA","NA","DMOG","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Docetaxel","0","NA","NA","NA","NA","NA","NA","NA","Docetaxel","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Doxorubicin","0","NA","NA","NA","NA","NA","NA","NA","Doxorubicin","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_EHT1864","0","NA","NA","NA","NA","NA","NA","NA","EHT1864","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Elesclomol","0","NA","NA","NA","NA","NA","NA","NA","Elesclomol","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Embelin","0","NA","NA","NA","NA","NA","NA","NA","Embelin","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_EpothiloneB","0","NA","NA","NA","NA","NA","NA","NA","EpothiloneB","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Erlotinib","8","10","0","0","0","0","0","0","Erlotinib","0","0","0","0","0","10","0","0"
"AUTONOMIC:GANGLIA_Etoposide","0","NA","NA","NA","NA","NA","NA","NA","Etoposide","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_FH535","0","NA","NA","NA","NA","NA","NA","NA","FH535","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_FTI277","0","NA","NA","NA","NA","NA","NA","NA","FTI277","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_GDC0449","0","NA","NA","NA","NA","NA","NA","NA","GDC0449","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_GDC0941","0","NA","NA","NA","NA","NA","NA","NA","GDC0941","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Gefitinib","0","NA","NA","NA","NA","NA","NA","NA","Gefitinib","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Gemcitabine","0","NA","NA","NA","NA","NA","NA","NA","Gemcitabine","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_GNF2","0","NA","NA","NA","NA","NA","NA","NA","GNF2","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_GSK269962A","0","NA","NA","NA","NA","NA","NA","NA","GSK269962A","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_GSK650394","0","NA","NA","NA","NA","NA","NA","NA","GSK650394","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_GW441756","0","NA","NA","NA","NA","NA","NA","NA","GW441756","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_GW843682X","0","NA","NA","NA","NA","NA","NA","NA","GW843682X","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Imatinib","0","NA","NA","NA","NA","NA","NA","NA","Imatinib","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_IPA3","0","NA","NA","NA","NA","NA","NA","NA","IPA3","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_Irinotecan","0.0286461","3","1","1","0","0","0","0","Irinotecan","0","0","0","2","1","0","0","0"
"AUTONOMIC:GANGLIA_JNJ26854165","0","NA","NA","NA","NA","NA","NA","NA","JNJ26854165","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_JNK9L","0","NA","NA","NA","NA","NA","NA","NA","JNK9L","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_JNKInhibitorVIII","0","NA","NA","NA","NA","NA","NA","NA","JNKInhibitorVIII","0","0","0","0","0","0","0","0"
"AUTONOMIC:GANGLIA_JW7521","0","NA","NA","NA","NA","NA","NA","NA","JW7521","0","0","0","0","0","0","0","0"
