"tissue_cell_line","ref","min","3_times","5_times","25_times","50_times","100_times","250_times","cell_line","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"AUTONOMIC:GANGLIA_CHP212","0.00578004","21","17","17","16","16","16","15","CHP212","0","0","4","1","0","16","0","0"
"AUTONOMIC:GANGLIA_IMR32","0.00254261","23","22","22","20","20","20","20","IMR32","0","1","0","2","0","20","0","0"
"AUTONOMIC:GANGLIA_KELLY","0.0388003","20","18","17","17","17","14","0","KELLY","0","0","0","2","1","17","0","0"
"AUTONOMIC:GANGLIA_KPNSI9S","0.0044054","24","23","23","18","18","17","15","KPNSI9S","0","1","1","4","1","17","0","0"
"AUTONOMIC:GANGLIA_SIMA","0.00254261","24","23","23","20","20","20","19","SIMA","0","1","0","3","1","19","0","0"
"AUTONOMIC:GANGLIA_SKNAS","0.00766751","21","19","19","18","16","15","15","SKNAS","0","0","2","1","3","15","0","0"
"AUTONOMIC:GANGLIA_SKNBE2","0.00531926","24","23","22","21","20","20","17","SKNBE2","0","0","2","1","1","20","0","0"
"AUTONOMIC:GANGLIA_SKNDZ","0.0060104","22","20","20","19","19","19","17","SKNDZ","0","0","2","0","1","19","0","0"
"AUTONOMIC:GANGLIA_SKNFI","0.052232","21","20","19","17","15","14","0","SKNFI","0","0","0","1","2","18","0","0"
"AUTONOMIC:GANGLIA_SKNSH","0.0227017","23","21","21","18","17","15","12","SKNSH","0","0","2","0","3","18","0","0"
"BILIARY:TRACT_HUCCT1","0.00913067","24","23","23","21","21","20","18","HUCCT1","0","0","1","2","0","21","0","0"
"BLADDER_5637","0","NA","NA","NA","NA","NA","NA","NA","5637","4","0","2","9","6","34","28","15"
"BLADDER_639V","0","NA","NA","NA","NA","NA","NA","NA","639V","6","0","4","2","8","32","37","9"
"BLADDER_647V","0","NA","NA","NA","NA","NA","NA","NA","647V","4","0","5","4","7","24","45","9"
"BLADDER_BFTC905","0","NA","NA","NA","NA","NA","NA","NA","BFTC905","7","0","3","5","10","35","31","8"
"BLADDER_DSH1","0","NA","NA","NA","NA","NA","NA","NA","DSH1","2","0","5","9","12","41","54","15"
"BLADDER_HT1197","0.01","98","95","94","89","87","85","81","HT1197","0","0","3","3","7","22","53","10"
"BLADDER_HT1376","0","NA","NA","NA","NA","NA","NA","NA","HT1376","1","0","1","4","7","35","39","11"
"BLADDER_J82","0","NA","NA","NA","NA","NA","NA","NA","J82","3","0","5","4","6","32","40","4"
"BLADDER_KU1919","0.01","98","96","94","90","87","81","74","KU1919","0","0","2","5","6","28","42","15"
"BLADDER_LB831BLC","0","NA","NA","NA","NA","NA","NA","NA","LB831BLC","3","0","3","9","15","37","51","20"
"BLADDER_RT112","0","NA","NA","NA","NA","NA","NA","NA","RT112","6","0","4","5","13","31","30","9"
"BLADDER_RT4","0","NA","NA","NA","NA","NA","NA","NA","RT4","1","0","1","0","3","11","22","8"
"BLADDER_SW1710","0","NA","NA","NA","NA","NA","NA","NA","SW1710","7","0","4","3","11","36","31","6"
"BLADDER_SW780","0","NA","NA","NA","NA","NA","NA","NA","SW780","3","0","2","5","5","30","34","19"
"BLADDER_T24","0","NA","NA","NA","NA","NA","NA","NA","T24","2","0","6","3","7","25","44","11"
"BLADDER_TCCSUP","0","NA","NA","NA","NA","NA","NA","NA","TCCSUP","1","0","3","7","5","32","36","14"
"BLADDER_UMUC3","0","NA","NA","NA","NA","NA","NA","NA","UMUC3","4","0","4","5","5","31","39","6"
"BLADDER_VMCUB1","0","NA","NA","NA","NA","NA","NA","NA","VMCUB1","4","0","4","5","7","31","32","6"
