"gene","uni_id","pdb_id"
"ABL1","P00519","1AB2"
"ABL1","P00519","1ABL"
"ABL1","P00519","1AWO"
"ABL1","P00519","1BBZ"
"ABL1","P00519","1JU5"
"ABL1","P00519","1OPL"
"ABL1","P00519","1ZZP"
"ABL1","P00519","2ABL"
"ABL1","P00519","2E2B"
"ABL1","P00519","2F4J"
"ABL1","P00519","2FO0"
"ABL1","P00519","2G1T"
"ABL1","P00519","2G2F"
"ABL1","P00519","2G2H"
"ABL1","P00519","2G2I"
"ABL1","P00519","2GQG"
"ABL1","P00519","2HIW"
"ABL1","P00519","2HYY"
"ABL1","P00519","2HZ0"
"ABL1","P00519","2HZ4"
"ABL1","P00519","2HZI"
"ABL1","P00519","2O88"
"ABL1","P00519","2V7A"
"ABL1","P00519","3CS9"
"ABL1","P00519","3EG0"
"ABL1","P00519","3EG1"
"ABL1","P00519","3EG2"
"ABL1","P00519","3EG3"
"ABL1","P00519","3EGU"
"ABL1","P00519","3K2M"
"ABL1","P00519","3PYY"
"ABL1","P00519","3QRI"
"ABL1","P00519","3QRJ"
"ABL1","P00519","3QRK"
"ABL1","P00519","3T04"
"ABL1","P00519","3UE4"
"ABL1","P00519","3UYO"
"ABL2","P42684","2ECD"
"ABL2","P42684","2KK1"
"ABL2","P42684","2XYN"
"ABL2","P42684","3GVU"
"ABL2","P42684","3HMI"
"ABL2","P42684","3ULR"
"AKT1","P31749","1H10"
"AKT1","P31749","1UNP"
"AKT1","P31749","1UNQ"
"AKT1","P31749","1UNR"
"AKT1","P31749","2UVM"
"AKT1","P31749","2UZR"
"AKT1","P31749","2UZS"
"AKT1","P31749","3CQU"
"AKT1","P31749","3CQW"
"AKT1","P31749","3MV5"
"AKT1","P31749","3MVH"
"AKT1","P31749","3O96"
"AKT1","P31749","3OCB"
"AKT1","P31749","3OW4"
"AKT1","P31749","3QKK"
"AKT1","P31749","3QKL"
"AKT1","P31749","3QKM"
"AKT2","P31751","1GZK"
"AKT2","P31751","1GZN"
"AKT2","P31751","1GZO"
"AKT2","P31751","1MRV"
"AKT2","P31751","1MRY"
"AKT2","P31751","1O6K"
"AKT2","P31751","1O6L"
"AKT2","P31751","1P6S"
"AKT2","P31751","2JDO"
"AKT2","P31751","2JDR"
"AKT2","P31751","2UW9"
"AKT2","P31751","2X39"
"AKT2","P31751","2XH5"
"AKT2","P31751","3D0E"
"AKT2","P31751","3E87"
"AKT2","P31751","3E88"
"AKT2","P31751","3E8D"
"AKT3","Q9Y243","2X18"
"ALK","Q9UM73","2KUP"
"ALK","Q9UM73","2KUQ"
"ALK","Q9UM73","2XB7"
"ALK","Q9UM73","2XBA"
"ALK","Q9UM73","2XP2"
"ALK","Q9UM73","2YFX"
"ALK","Q9UM73","2YHV"
"ALK","Q9UM73","2YS5"
"ALK","Q9UM73","2YT2"
"ALK","Q9UM73","3AOX"
"ALK","Q9UM73","3L9P"
"ALK","Q9UM73","3LCS"
"ALK","Q9UM73","3LCT"
"ALK","Q9UM73","4DCE"
"AR","P10275","1E3G"
"AR","P10275","1GS4"
"AR","P10275","1T5Z"
"AR","P10275","1T63"
"AR","P10275","1T65"
"AR","P10275","1XJ7"
"AR","P10275","1XOW"
"AR","P10275","1XQ3"
"AR","P10275","1Z95"
"AR","P10275","2AM9"
"AR","P10275","2AMA"
"AR","P10275","2AMB"
"AR","P10275","2AO6"
"AR","P10275","2AX6"
"AR","P10275","2AX7"
"AR","P10275","2AX8"
"AR","P10275","2AX9"
